rgn_id,hakewt,year
1,0,2012
2,0,2012
3,0,2012
4,0,2012
5,0,2012
6,0,2012
7,0,2012
8,0,2012
1,0,2011
2,0,2011
3,0,2011
4,0.6675,2011
5,0,2011
6,0,2011
7,0,2011
8,0,2011
1,0,2010
2,0,2010
3,0,2010
4,0,2010
5,0,2010
6,0,2010
7,0,2010
8,0,2010
1,0,2009
2,0,2009
3,0,2009
4,0,2009
5,0,2009
6,0,2009
7,0,2009
8,0,2009
1,0,2008
2,0,2008
3,0,2008
4,0,2008
5,0,2008
6,0,2008
7,0,2008
8,0,2008
1,0,2007
2,0,2007
3,0,2007
4,0,2007
5,0,2007
6,0,2007
7,0,2007
8,0,2007
1,0,2006
2,0,2006
3,0,2006
4,0,2006
5,0,2006
6,0,2006
7,0,2006
8,0,2006
