rgn_id,effort_trp,year
1,19803.75,2009
2,0,2009
3,34276.1875,2009
4,356265.8125,2009
5,178924.625,2009
6,1372133.5625,2009
7,0,2009
8,310,2009
1,12958.9375,2008
2,0,2008
3,48838,2008
4,248846.875,2008
5,125053.3125,2008
6,1400013,2008
7,0,2008
8,0,2008
1,31636.125,2007
2,4487.5,2007
3,55712.125,2007
4,291008.375,2007
5,76583.375,2007
6,1477672.5,2007
7,0,2007
8,55.625,2007
1,29531.75,2006
2,11109.375,2006
3,87251.6875,2006
4,291967.75,2006
5,84766.6875,2006
6,1506380.625,2006
7,0,2006
8,944.375,2006
1,30126,2005
2,29352.9375,2005
3,43821,2005
4,372246.3125,2005
5,120561.625,2005
6,1295319.8125,2005
7,0,2005
8,0,2005
1,43593.4375,2004
2,46293.4375,2004
3,94964.875,2004
4,322428.125,2004
5,182280,2004
6,1260895.25,2004
7,0,2004
8,347.5,2004
1,31193.5,2003
2,90025.6875,2003
3,99827.1875,2003
4,365079.375,2003
5,235317.6875,2003
6,1326227.1875,2003
7,0,2003
8,0,2003
1,71661.3125,2002
2,8731.75,2002
3,83284.8125,2002
4,376066.9375,2002
5,190886.125,2002
6,1154988.125,2002
7,0,2002
8,0,2002
1,105646.5,2001
2,26380,2001
3,76467.5625,2001
4,506476.5625,2001
5,142591.625,2001
6,1457950.625,2001
7,0,2001
8,0,2001
