species,variable,value,year,fis_mar_sal
farmedsalmon,weight,62.4,2013,mar
farmedshellfish,weight,8.3,2013,mar
groundfish,weight,97.9,2013,fis
herring,weight,21.2,2013,fis
otherfarmed,weight,1.6,2013,mar
wildshellfish,weight,13.4,2013,fis
wildsalmon,weight,31.6,2013,sal
othersum,weight,5.4,2013,fis
farmedsalmon,weight,61.5,2014,mar
farmedshellfish,weight,10.3,2014,mar
groundfish,weight,85.9,2014,fis
herring,weight,20.8,2014,fis
otherfarmed,weight,1.5,2014,mar
wildshellfish,weight,13.6,2014,fis
wildsalmon,weight,41.7,2014,sal
othersum,weight,5.1,2014,fis
farmedsalmon,weight,83.8,2015,mar
farmedshellfish,weight,11,2015,mar
groundfish,weight,93.3,2015,fis
herring,weight,22.5,2015,fis
otherfarmed,weight,1.2,2015,mar
wildshellfish,weight,18.3,2015,fis
wildsalmon,weight,20.2,2015,sal
othersum,weight,4.6,2015,fis
farmedsalmon,landed_value,416.3,2013,mar
farmedshellfish,landed_value,22.6,2013,mar
groundfish,landed_value,111.7,2013,fis
herring,landed_value,17,2013,fis
otherfarmed,landed_value,12.1,2013,mar
wildshellfish,landed_value,125.7,2013,fis
wildsalmon,landed_value,45.2,2013,sal
othersum,landed_value,24.7,2013,fis
farmedsalmon,landed_value,377.8,2014,mar
farmedshellfish,landed_value,22.1,2014,mar
groundfish,landed_value,116.7,2014,fis
herring,landed_value,15.7,2014,fis
otherfarmed,landed_value,12.9,2014,mar
wildshellfish,landed_value,142,2014,fis
wildsalmon,landed_value,124.7,2014,sal
othersum,landed_value,16.4,2014,fis
farmedsalmon,landed_value,463.6,2015,mar
farmedshellfish,landed_value,24.6,2015,mar
groundfish,landed_value,138.4,2015,fis
herring,landed_value,15.6,2015,fis
otherfarmed,landed_value,9,2015,mar
wildshellfish,landed_value,149,2015,fis
wildsalmon,landed_value,51.9,2015,sal
othersum,landed_value,15.3,2015,fis
farmedsalmon,wholesale_value,461.8,2013,mar
farmedshellfish,wholesale_value,40.4,2013,mar
groundfish,wholesale_value,291.2,2013,fis
herring,wholesale_value,45.7,2013,fis
otherfarmed,wholesale_value,22.9,2013,mar
wildshellfish,wholesale_value,206.5,2013,fis
wildsalmon,wholesale_value,178.5,2013,sal
othersum,wholesale_value,63.2,2013,fis
farmedsalmon,wholesale_value,461.7,2014,mar
farmedshellfish,wholesale_value,50.5,2014,mar
groundfish,wholesale_value,271.7,2014,fis
herring,wholesale_value,43.3,2014,fis
otherfarmed,wholesale_value,31.7,2014,mar
wildshellfish,wholesale_value,211.7,2014,fis
wildsalmon,wholesale_value,307.3,2014,sal
othersum,wholesale_value,62.2,2014,fis
farmedsalmon,wholesale_value,574.8,2015,mar
farmedshellfish,wholesale_value,57.2,2015,mar
groundfish,wholesale_value,271.8,2015,fis
herring,wholesale_value,51.8,2015,fis
otherfarmed,wholesale_value,26.3,2015,mar
wildshellfish,wholesale_value,221.9,2015,fis
wildsalmon,wholesale_value,172.8,2015,sal
othersum,wholesale_value,55.2,2015,fis
farmedsalmon,weight,83.2,2011,mar
farmedshellfish,weight,9.1,2011,mar
groundfish,weight,99.6,2011,fis
herring,weight,10.8,2011,fis
otherfarmed,weight,1.2,2011,mar
wildsalmon,weight,20.7,2011,sal
wildshellfish,weight,13.4,2011,fis
othersum,weight,26.4,2011,fis
farmedsalmon,weight,78.4,2012,mar
farmedshellfish,weight,8.9,2012,mar
groundfish,weight,89.4,2012,fis
herring,weight,13.2,2012,fis
otherfarmed,weight,0.9,2012,mar
wildsalmon,weight,9,2012,sal
wildshellfish,weight,12.8,2012,fis
othersum,weight,22,2012,fis
farmedsalmon,landed_value,435.7,2011,mar
farmedshellfish,landed_value,19.3,2011,mar
groundfish,landed_value,129.5,2011,fis
herring,landed_value,6.3,2011,fis
otherfarmed,landed_value,10.5,2011,mar
wildsalmon,landed_value,48,2011,sal
wildshellfish,landed_value,130.2,2011,fis
othersum,landed_value,33.9,2011,fis
farmedsalmon,landed_value,372.8,2012,mar
farmedshellfish,landed_value,19.4,2012,mar
groundfish,landed_value,123.4,2012,fis
herring,landed_value,11.3,2012,fis
otherfarmed,landed_value,8.3,2012,mar
wildsalmon,landed_value,26.4,2012,sal
wildshellfish,landed_value,126.7,2012,fis
othersum,landed_value,16.1,2012,fis
farmedsalmon,wholesale_value,507,2011,mar
farmedshellfish,wholesale_value,29.2,2011,mar
groundfish,wholesale_value,312.6,2011,fis
herring,wholesale_value,30.2,2011,fis
otherfarmed,wholesale_value,16.6,2011,mar
wildsalmon,wholesale_value,221.6,2011,sal
wildshellfish,wholesale_value,206.8,2011,fis
othersum,wholesale_value,75.8,2011,fis
farmedsalmon,wholesale_value,445.4,2012,mar
farmedshellfish,wholesale_value,36.4,2012,mar
groundfish,wholesale_value,286,2012,fis
herring,wholesale_value,38.4,2012,fis
otherfarmed,wholesale_value,14.1,2012,mar
wildsalmon,wholesale_value,168.2,2012,sal
wildshellfish,wholesale_value,199.2,2012,fis
othersum,wholesale_value,62,2012,fis
wildsalmon,weight,23.6,2010,sal
farmedsalmon,weight,78.7,2010,mar
herring,weight,10.2,2010,fis
groundfish,weight,97.6,2010,fis
farmedshellfish,weight,10.1,2010,mar
wildshellfish,weight,14.5,2010,fis
otherfarmed,weight,2.8,2010,mar
othersum,weight,29,2010,fis
wildsalmon,landed_value,70.6,2010,sal
farmedsalmon,landed_value,499.7,2010,mar
herring,landed_value,11.9,2010,fis
groundfish,landed_value,111.5,2010,fis
farmedshellfish,landed_value,22,2010,mar
wildshellfish,landed_value,112.6,2010,fis
otherfarmed,landed_value,16.9,2010,mar
othersum,landed_value,28.1,2010,fis
wildsalmon,wholesale_value,240.9,2010,sal
farmedsalmon,wholesale_value,550.4,2010,mar
herring,wholesale_value,43,2010,fis
groundfish,wholesale_value,281.6,2010,fis
farmedshellfish,wholesale_value,29.9,2010,mar
wildshellfish,wholesale_value,192.6,2010,fis
otherfarmed,wholesale_value,18.7,2010,mar
othersum,wholesale_value,74.5,2010,fis
wildsalmon,weight,18.5,2009,sal
farmedsalmon,weight,76.3,2009,mar
herring,weight,12.3,2009,fis
groundfish,weight,100.8,2009,fis
farmedshellfish,weight,7.8,2009,mar
wildshellfish,weight,15.9,2009,fis
otherfarmed,weight,2,2009,mar
othernonfarmed,weight,21.3,2009,fis
wildsalmon,landed_value,23.7,2009,sal
farmedsalmon,landed_value,394.2,2009,mar
herring,landed_value,17.6,2009,fis
groundfish,landed_value,108.7,2009,fis
farmedshellfish,landed_value,17.5,2009,mar
wildshellfish,landed_value,106.9,2009,fis
otherfarmed,landed_value,11.1,2009,mar
othernonfarmed,landed_value,20.2,2009,fis
wildsalmon,wholesale_value,143.5,2009,sal
farmedsalmon,wholesale_value,493.5,2009,mar
herring,wholesale_value,65.3,2009,fis
groundfish,wholesale_value,301.4,2009,fis
farmedshellfish,wholesale_value,30.3,2009,mar
wildshellfish,wholesale_value,176.3,2009,fis
otherfarmed,wholesale_value,12.3,2009,mar
othernonfarmed,wholesale_value,49.6,2009,fis
farmedsalmon,weight,81.4,2008,mar
farmedshellfish,weight,7.5,2008,mar
groundfish,weight,115.8,2008,fis
herring,weight,11.4,2008,fis
otherfarmed,weight,2.5,2008,mar
wildsalmon,weight,5.4,2008,sal
wildshellfish,weight,16.1,2008,fis
othernonfarmed,weight,13.7,2008,fis
farmedsalmon,landed_value,409.3,2008,mar
farmedshellfish,landed_value,16.2,2008,mar
groundfish,landed_value,123.8,2008,fis
herring,landed_value,16,2008,fis
otherfarmed,landed_value,9,2008,mar
wildsalmon,landed_value,21.8,2008,sal
wildshellfish,landed_value,99.5,2008,fis
othernonfarmed,landed_value,13.6,2008,fis
farmedsalmon,wholesale_value,495.2,2008,mar
farmedshellfish,wholesale_value,28.3,2008,mar
groundfish,wholesale_value,321.7,2008,fis
herring,wholesale_value,48.3,2008,fis
otherfarmed,wholesale_value,9.8,2008,mar
wildsalmon,wholesale_value,138.1,2008,sal
wildshellfish,wholesale_value,157,2008,fis
othernonfarmed,wholesale_value,41.4,2008,fis
farmedsalmon,weight,78.9,2007,mar
farmedshellfish,weight,9.9,2007,mar
groundfish,weight,122.3,2007,fis
herring,weight,11.8,2007,fis
otherfarmed,weight,1.1,2007,mar
wildsalmon,weight,20.2,2007,sal
wildshellfish,weight,16.9,2007,fis
othernonfarmed,weight,7.600000000000001,2007,fis
farmedsalmon,landed_value,384.1,2007,mar
farmedshellfish,landed_value,21.3,2007,mar
groundfish,landed_value,135.5,2007,fis
herring,landed_value,20.2,2007,fis
otherfarmed,landed_value,5,2007,mar
wildsalmon,landed_value,31.6,2007,sal
wildshellfish,landed_value,110.2,2007,fis
othernonfarmed,landed_value,14.3,2007,fis
farmedsalmon,wholesale_value,469.3,2007,mar
farmedshellfish,wholesale_value,32.8,2007,mar
groundfish,wholesale_value,338,2007,fis
herring,wholesale_value,57.1,2007,fis
otherfarmed,wholesale_value,5.6,2007,mar
wildsalmon,wholesale_value,182.1,2007,sal
wildshellfish,wholesale_value,155.6,2007,fis
othernonfarmed,wholesale_value,27.299999999999997,2007,fis
farmedshellfish,weight,9.9,2004,mar
groundfish,weight,181.5,2004,fis
herring,weight,25.5,2004,fis
wildshellfish,weight,21.7,2004,fis
wildsalmon,weight,25.9,2004,sal
farmedsalmon,weight,61.8,2004,mar
othernonfarmed,weight,6.9,2004,fis
otherfarmed,weight,0.2,2004,mar
farmedshellfish,weight,10.1,2005,mar
groundfish,weight,168.7,2005,fis
herring,weight,30.4,2005,fis
wildshellfish,weight,18.1,2005,fis
wildsalmon,weight,27.2,2005,sal
farmedsalmon,weight,70.4,2005,mar
othernonfarmed,weight,5.3999999999999995,2005,fis
otherfarmed,weight,0.4,2005,mar
farmedshellfish,weight,9.4,2006,mar
groundfish,weight,149.4,2006,fis
herring,weight,23.9,2006,fis
wildshellfish,weight,15.7,2006,fis
wildsalmon,weight,23.5,2006,sal
farmedsalmon,weight,78,2006,mar
othernonfarmed,weight,3.6000000000000005,2006,fis
otherfarmed,weight,0.7,2006,mar
farmedshellfish,landed_value,15.9,2004,mar
groundfish,landed_value,147.5,2004,fis
herring,landed_value,34,2004,fis
wildshellfish,landed_value,129.4,2004,fis
wildsalmon,landed_value,53.2,2004,sal
farmedsalmon,landed_value,225.2,2004,mar
othernonfarmed,landed_value,2.2000000000000006,2004,fis
otherfarmed,landed_value,1.6,2004,mar
farmedshellfish,landed_value,18,2005,mar
groundfish,landed_value,157.2,2005,fis
herring,landed_value,31.2,2005,fis
wildshellfish,landed_value,123.1,2005,fis
wildsalmon,landed_value,34,2005,sal
farmedsalmon,landed_value,318.3,2005,mar
othernonfarmed,landed_value,1.6000000000000005,2005,fis
otherfarmed,landed_value,2.7,2005,mar
farmedshellfish,landed_value,17.9,2006,mar
groundfish,landed_value,154.6,2006,fis
herring,landed_value,18.6,2006,fis
wildshellfish,landed_value,109.1,2006,fis
wildsalmon,landed_value,58.8,2006,sal
farmedsalmon,landed_value,407.4,2006,mar
othernonfarmed,landed_value,1.4999999999999978,2006,fis
otherfarmed,landed_value,3.6,2006,mar
farmedshellfish,wholesale_value,26.3,2004,mar
groundfish,wholesale_value,257.9,2004,fis
herring,wholesale_value,97.6,2004,fis
wildshellfish,wholesale_value,190.2,2004,fis
wildsalmon,wholesale_value,220.1,2004,sal
farmedsalmon,wholesale_value,287.2,2004,mar
othernonfarmed,wholesale_value,4.700000000000001,2004,fis
otherfarmed,wholesale_value,2.4,2004,mar
farmedshellfish,wholesale_value,31.1,2005,mar
groundfish,wholesale_value,283.4,2005,fis
herring,wholesale_value,87,2005,fis
wildshellfish,wholesale_value,169.1,2005,fis
wildsalmon,wholesale_value,218.9,2005,sal
farmedsalmon,wholesale_value,370.7,2005,mar
othernonfarmed,wholesale_value,3.5999999999999988,2005,fis
otherfarmed,wholesale_value,3.3,2005,mar
farmedshellfish,wholesale_value,33.9,2006,mar
groundfish,wholesale_value,302.4,2006,fis
herring,wholesale_value,57.6,2006,fis
wildshellfish,wholesale_value,154.7,2006,fis
wildsalmon,wholesale_value,227.6,2006,sal
farmedsalmon,wholesale_value,443.3,2006,mar
othernonfarmed,wholesale_value,5.300000000000004,2006,fis
otherfarmed,wholesale_value,5,2006,mar
herring,weight,30.5,2003,fis
farmedshellfish,weight,10.2,2003,mar
wildshellfish,weight,20.6,2003,fis
groundfish,weight,128,2003,fis
otherfarmed,weight,0.2,2003,mar
wildsalmon,weight,38.6,2003,sal
farmedsalmon,weight,72.7,2003,mar
othernonfarmed,weight,8.4,2003,fis
herring,landed_value,45.1,2003,fis
farmedshellfish,landed_value,17.9,2003,mar
wildshellfish,landed_value,123.9,2003,fis
groundfish,landed_value,137.2,2003,fis
otherfarmed,landed_value,1,2003,mar
wildsalmon,landed_value,48.8,2003,sal
farmedsalmon,landed_value,255.8,2003,mar
othernonfarmed,landed_value,14.9,2003,fis
herring,wholesale_value,109.5,2003,fis
farmedshellfish,wholesale_value,30.7,2003,mar
wildshellfish,wholesale_value,192.7,2003,fis
groundfish,wholesale_value,279.8,2003,fis
