species,variable,value,year,xl_sheet
arrowtooth flounder,harvest,8.3,2013,2013_2014_2015
chinook,harvest,1.1,2013,2013_2014_2015
chum,harvest,8.6,2013,2013_2014_2015
clams,harvest,0.4,2013,2013_2014_2015
coho,harvest,1.8,2013,2013_2014_2015
crabs,harvest,3.5,2013,2013_2014_2015
dogfish,harvest,0.4,2013,2013_2014_2015
farmed atlantic,harvest,58.3,2013,2013_2014_2015
"farmed geoduck
& other clams",harvest,1.2,2013,2013_2014_2015
farmed mussels & other,harvest,0.4,2013,2013_2014_2015
farmed oysters,harvest,6.7,2013,2013_2014_2015
farmed pacific,harvest,4.1,2013,2013_2014_2015
farmed salmon,harvest,62.4,2013,2013_2014_2015
farmed shellfish,harvest,8.3,2013,2013_2014_2015
"food,.bait.&.other",harvest,7.1,2013,2013_2014_2015
geoduck,harvest,1.5,2013,2013_2014_2015
grand total b.c.,harvest,241.8,2013,2013_2014_2015
groundfish,harvest,97.9,2013,2013_2014_2015
hake,harvest,54.1,2013,2013_2014_2015
halibut,harvest,3.7,2013,2013_2014_2015
herring,harvest,21.2,2013,2013_2014_2015
lingcod,harvest,1.6,2013,2013_2014_2015
other,harvest,7,2013,2013_2014_2015
other,harvest,0.1,2013,2013_2014_2015
other,harvest,0.3,2013,2013_2014_2015
other-farmed,harvest,1.6,2013,2013_2014_2015
other-wild,harvest,0.3,2013,2013_2014_2015
pacific cod,harvest,1.3,2013,2013_2014_2015
pink,harvest,19.5,2013,2013_2014_2015
pollock,harvest,3.4,2013,2013_2014_2015
prawns,harvest,1.7,2013,2013_2014_2015
rockfish,harvest,17.5,2013,2013_2014_2015
roe.herring,harvest,14,2013,2013_2014_2015
sablefish,harvest,2,2013,2013_2014_2015
salmon,harvest,94,2013,2013_2014_2015
sardine,harvest,0,2013,2013_2014_2015
scallops,harvest,0.01,2013,2013_2014_2015
sea cucumber,harvest,1.7,2013,2013_2014_2015
sea urchin: green,harvest,0.18,2013,2013_2014_2015
sea urchin: red,harvest,3.4,2013,2013_2014_2015
shellfish,harvest,21.7,2013,2013_2014_2015
shrimps,harvest,0.7,2013,2013_2014_2015
skates,harvest,0.9,2013,2013_2014_2015
sockeye,harvest,0.6,2013,2013_2014_2015
soles,harvest,4.6,2013,2013_2014_2015
spawn on kelp,harvest,0.06,2013,2013_2014_2015
tuna,harvest,5.1,2013,2013_2014_2015
wild shellfish,harvest,13.4,2013,2013_2014_2015
wild salmon,harvest,31.6,2013,2013_2014_2015
other-sum,harvest,5.4,2013,2013_2014_2015
arrowtooth flounder,harvest,11.8,2014,2013_2014_2015
chinook,harvest,2.4,2014,2013_2014_2015
chum,harvest,4.4,2014,2013_2014_2015
clams,harvest,0.4,2014,2013_2014_2015
coho,harvest,1,2014,2013_2014_2015
crabs,harvest,3.9,2014,2013_2014_2015
dogfish,harvest,0.2,2014,2013_2014_2015
farmed atlantic,harvest,58,2014,2013_2014_2015
"farmed geoduck
& other clams",harvest,1.3,2014,2013_2014_2015
farmed mussels & other,harvest,0.8,2014,2013_2014_2015
farmed oysters,harvest,8.2,2014,2013_2014_2015
farmed pacific,harvest,3.5,2014,2013_2014_2015
farmed salmon,harvest,61.5,2014,2013_2014_2015
farmed shellfish,harvest,10.3,2014,2013_2014_2015
"food,.bait.&.other",harvest,5.6,2014,2013_2014_2015
geoduck,harvest,1.5,2014,2013_2014_2015
grand total b.c.,harvest,240.4,2014,2013_2014_2015
groundfish,harvest,85.9,2014,2013_2014_2015
hake,harvest,37.4,2014,2013_2014_2015
halibut,harvest,3.6,2014,2013_2014_2015
herring,harvest,20.8,2014,2013_2014_2015
lingcod,harvest,1.4,2014,2013_2014_2015
other,harvest,6.6,2014,2013_2014_2015
other,harvest,0.1,2014,2013_2014_2015
other,harvest,0.1,2014,2013_2014_2015
other-farmed,harvest,1.5,2014,2013_2014_2015
other-wild,harvest,0.3,2014,2013_2014_2015
pacific cod,harvest,1.3,2014,2013_2014_2015
pink,harvest,6.5,2014,2013_2014_2015
pollock,harvest,7.6,2014,2013_2014_2015
prawns,harvest,1.6,2014,2013_2014_2015
rockfish,harvest,16.2,2014,2013_2014_2015
roe.herring,harvest,15,2014,2013_2014_2015
sablefish,harvest,1.8,2014,2013_2014_2015
salmon,harvest,103.2,2014,2013_2014_2015
sardine,harvest,0,2014,2013_2014_2015
scallops,harvest,0.01,2014,2013_2014_2015
sea cucumber,harvest,1.7,2014,2013_2014_2015
sea urchin: green,harvest,0.14,2014,2013_2014_2015
sea urchin: red,harvest,3.7,2014,2013_2014_2015
shellfish,harvest,23.9,2014,2013_2014_2015
shrimps,harvest,0.5,2014,2013_2014_2015
skates,harvest,0.8,2014,2013_2014_2015
sockeye,harvest,27.4,2014,2013_2014_2015
soles,harvest,3.7,2014,2013_2014_2015
spawn on kelp,harvest,0.18,2014,2013_2014_2015
tuna,harvest,4.8,2014,2013_2014_2015
wild shellfish,harvest,13.6,2014,2013_2014_2015
wild salmon,harvest,41.7,2014,2013_2014_2015
other-sum,harvest,5.1,2014,2013_2014_2015
arrowtooth flounder,harvest,10.4,2015,2013_2014_2015
chinook,harvest,1.5,2015,2013_2014_2015
chum,harvest,11.3,2015,2013_2014_2015
