species,variable,value,year,xl_sheet
clams,harvest,0.4,2015,2013_2014_2015
coho,harvest,0.8,2015,2013_2014_2015
crabs,harvest,4.3,2015,2013_2014_2015
dogfish,harvest,0.4,2015,2013_2014_2015
farmed atlantic,harvest,80.5,2015,2013_2014_2015
"farmed geoduck
& other clams",harvest,1.3,2015,2013_2014_2015
farmed mussels & other,harvest,0.6,2015,2013_2014_2015
farmed oysters,harvest,9.1,2015,2013_2014_2015
farmed pacific,harvest,3.3,2015,2013_2014_2015
farmed salmon,harvest,83.8,2015,2013_2014_2015
farmed shellfish,harvest,11,2015,2013_2014_2015
"food,.bait.&.other",harvest,7.9,2015,2013_2014_2015
geoduck,harvest,1.4,2015,2013_2014_2015
grand total b.c.,harvest,254.9,2015,2013_2014_2015
groundfish,harvest,93.3,2015,2013_2014_2015
hake,harvest,47.3,2015,2013_2014_2015
halibut,harvest,3.7,2015,2013_2014_2015
herring,harvest,22.5,2015,2013_2014_2015
lingcod,harvest,1.7,2015,2013_2014_2015
other,harvest,5.8,2015,2013_2014_2015
other,harvest,0.2,2015,2013_2014_2015
other,harvest,0.2,2015,2013_2014_2015
other-farmed,harvest,1.2,2015,2013_2014_2015
other-wild,harvest,0.3,2015,2013_2014_2015
pacific cod,harvest,1.5,2015,2013_2014_2015
pink,harvest,2.6,2015,2013_2014_2015
pollock,harvest,4.5,2015,2013_2014_2015
prawns,harvest,1.8,2015,2013_2014_2015
rockfish,harvest,17.3,2015,2013_2014_2015
roe.herring,harvest,14.5,2015,2013_2014_2015
sablefish,harvest,2.7,2015,2013_2014_2015
salmon,harvest,104,2015,2013_2014_2015
sardine,harvest,0,2015,2013_2014_2015
scallops,harvest,0.01,2015,2013_2014_2015
sea cucumber,harvest,1.7,2015,2013_2014_2015
sea urchin: green,harvest,0.17,2015,2013_2014_2015
sea urchin: red,harvest,3.9,2015,2013_2014_2015
shellfish,harvest,29.3,2015,2013_2014_2015
shrimps,harvest,4.4,2015,2013_2014_2015
skates,harvest,0.5,2015,2013_2014_2015
sockeye,harvest,4,2015,2013_2014_2015
soles,harvest,3.1,2015,2013_2014_2015
spawn on kelp,harvest,0.13,2015,2013_2014_2015
tuna,harvest,4.3,2015,2013_2014_2015
wild shellfish,harvest,18.3,2015,2013_2014_2015
wild salmon,harvest,20.2,2015,2013_2014_2015
other-sum,harvest,4.6,2015,2013_2014_2015
arrowtooth flounder,landed_value,1.8,2013,2013_2014_2015
chinook,landed_value,8.7,2013,2013_2014_2015
chum,landed_value,11.2,2013,2013_2014_2015
clams,landed_value,1.2,2013,2013_2014_2015
coho,landed_value,8.3,2013,2013_2014_2015
crabs,landed_value,36.2,2013,2013_2014_2015
dogfish,landed_value,0.2,2013,2013_2014_2015
farmed atlantic,landed_value,385.6,2013,2013_2014_2015
"farmed geoduck
& other clams",landed_value,7.1,2013,2013_2014_2015
farmed mussels & other,landed_value,2.6,2013,2013_2014_2015
farmed oysters,landed_value,12.9,2013,2013_2014_2015
farmed pacific,landed_value,30.7,2013,2013_2014_2015
farmed salmon,landed_value,416.3,2013,2013_2014_2015
farmed shellfish,landed_value,22.6,2013,2013_2014_2015
"food,.bait.&.other",landed_value,2.3,2013,2013_2014_2015
geoduck,landed_value,38.3,2013,2013_2014_2015
grand total b.c.,landed_value,775.3,2013,2013_2014_2015
groundfish,landed_value,111.7,2013,2013_2014_2015
hake,landed_value,16.6,2013,2013_2014_2015
halibut,landed_value,40.3,2013,2013_2014_2015
herring,landed_value,17,2013,2013_2014_2015
lingcod,landed_value,5.3,2013,2013_2014_2015
other,landed_value,36.8,2013,2013_2014_2015
other,landed_value,0.5,2013,2013_2014_2015
other,landed_value,0.5,2013,2013_2014_2015
other-farmed,landed_value,12.1,2013,2013_2014_2015
other-wild,landed_value,1.5,2013,2013_2014_2015
pacific cod,landed_value,1.7,2013,2013_2014_2015
pink,landed_value,13.7,2013,2013_2014_2015
pollock,landed_value,1.1,2013,2013_2014_2015
prawns,landed_value,35.3,2013,2013_2014_2015
rockfish,landed_value,22.9,2013,2013_2014_2015
roe.herring,landed_value,12.9,2013,2013_2014_2015
sablefish,landed_value,15.4,2013,2013_2014_2015
salmon,landed_value,461.5,2013,2013_2014_2015
sardine,landed_value,0,2013,2013_2014_2015
scallops,landed_value,0.1,2013,2013_2014_2015
sea cucumber,landed_value,6.4,2013,2013_2014_2015
sea urchin: green,landed_value,0.6,2013,2013_2014_2015
sea urchin: red,landed_value,4.4,2013,2013_2014_2015
shellfish,landed_value,148.3,2013,2013_2014_2015
shrimps,landed_value,2.7,2013,2013_2014_2015
skates,landed_value,0.9,2013,2013_2014_2015
sockeye,landed_value,3.3,2013,2013_2014_2015
soles,landed_value,5,2013,2013_2014_2015
spawn on kelp,landed_value,1.8,2013,2013_2014_2015
tuna,landed_value,23.2,2013,2013_2014_2015
wild shellfish,landed_value,125.7,2013,2013_2014_2015
wild salmon,landed_value,45.2,2013,2013_2014_2015
other-sum,landed_value,24.7,2013,2013_2014_2015
arrowtooth flounder,landed_value,2.6,2014,2013_2014_2015
chinook,landed_value,16.6,2014,2013_2014_2015
chum,landed_value,8.3,2014,2013_2014_2015
clams,landed_value,1,2014,2013_2014_2015
coho,landed_value,3.4,2014,2013_2014_2015
crabs,landed_value,46.7,2014,2013_2014_2015
dogfish,landed_value,0.1,2014,2013_2014_2015
farmed atlantic,landed_value,346.5,2014,2013_2014_2015
"farmed geoduck
& other clams",landed_value,6,2014,2013_2014_2015
farmed mussels & other,landed_value,3.1,2014,2013_2014_2015
farmed oysters,landed_value,13,2014,2013_2014_2015
farmed pacific,landed_value,31.3,2014,2013_2014_2015
farmed salmon,landed_value,377.8,2014,2013_2014_2015
farmed shellfish,landed_value,22.1,2014,2013_2014_2015
"food,.bait.&.other",landed_value,2,2014,2013_2014_2015
geoduck,landed_value,40.5,2014,2013_2014_2015
grand total b.c.,landed_value,828.3,2014,2013_2014_2015
groundfish,landed_value,116.7,2014,2013_2014_2015
hake,landed_value,9,2014,2013_2014_2015
halibut,landed_value,46.9,2014,2013_2014_2015
herring,landed_value,15.7,2014,2013_2014_2015
lingcod,landed_value,6.7,2014,2013_2014_2015
other,landed_value,29.3,2014,2013_2014_2015
other,landed_value,1.1,2014,2013_2014_2015
other,landed_value,0.3,2014,2013_2014_2015
other-farmed,landed_value,12.9,2014,2013_2014_2015
other-wild,landed_value,1.5,2014,2013_2014_2015
pacific cod,landed_value,1.8,2014,2013_2014_2015
pink,landed_value,4.3,2014,2013_2014_2015
pollock,landed_value,2.4,2014,2013_2014_2015
prawns,landed_value,39,2014,2013_2014_2015
rockfish,landed_value,24.3,2014,2013_2014_2015
roe.herring,landed_value,10.6,2014,2013_2014_2015
sablefish,landed_value,16.6,2014,2013_2014_2015
salmon,landed_value,502.5,2014,2013_2014_2015
sardine,landed_value,0,2014,2013_2014_2015
scallops,landed_value,0.1,2014,2013_2014_2015
sea cucumber,landed_value,6.8,2014,2013_2014_2015
sea urchin: green,landed_value,0.5,2014,2013_2014_2015
sea urchin: red,landed_value,4.9,2014,2013_2014_2015
shellfish,landed_value,164.1,2014,2013_2014_2015
shrimps,landed_value,2.2,2014,2013_2014_2015
skates,landed_value,0.8,2014,2013_2014_2015
sockeye,landed_value,92.1,2014,2013_2014_2015
soles,landed_value,4.4,2014,2013_2014_2015
spawn on kelp,landed_value,3.1,2014,2013_2014_2015
tuna,landed_value,14.9,2014,2013_2014_2015
wild shellfish,landed_value,142,2014,2013_2014_2015
wild salmon,landed_value,124.7,2014,2013_2014_2015
other-sum,landed_value,16.4,2014,2013_2014_2015
arrowtooth flounder,landed_value,2.3,2015,2013_2014_2015
chinook,landed_value,13.7,2015,2013_2014_2015
chum,landed_value,18.6,2015,2013_2014_2015
clams,landed_value,1.3,2015,2013_2014_2015
coho,landed_value,3.7,2015,2013_2014_2015
crabs,landed_value,54.8,2015,2013_2014_2015
dogfish,landed_value,0.2,2015,2013_2014_2015
farmed atlantic,landed_value,431.7,2015,2013_2014_2015
"farmed geoduck
& other clams",landed_value,6.5,2015,2013_2014_2015
farmed mussels & other,landed_value,3.7,2015,2013_2014_2015
farmed oysters,landed_value,14.4,2015,2013_2014_2015
farmed pacific,landed_value,31.9,2015,2013_2014_2015
farmed salmon,landed_value,463.6,2015,2013_2014_2015
farmed shellfish,landed_value,24.6,2015,2013_2014_2015
"food,.bait.&.other",landed_value,3.4,2015,2013_2014_2015
geoduck,landed_value,32.2,2015,2013_2014_2015
grand total b.c.,landed_value,867.4,2015,2013_2014_2015
groundfish,landed_value,138.4,2015,2013_2014_2015
hake,landed_value,9.1,2015,2013_2014_2015
halibut,landed_value,53.8,2015,2013_2014_2015
herring,landed_value,15.6,2015,2013_2014_2015
lingcod,landed_value,8.5,2015,2013_2014_2015
other,landed_value,24.3,2015,2013_2014_2015
other,landed_value,1,2015,2013_2014_2015
other,landed_value,0.5,2015,2013_2014_2015
other-farmed,landed_value,9,2015,2013_2014_2015
other-wild,landed_value,1.5,2015,2013_2014_2015
pacific cod,landed_value,2,2015,2013_2014_2015
pink,landed_value,1.4,2015,2013_2014_2015
pollock,landed_value,1.9,2015,2013_2014_2015
prawns,landed_value,32.7,2015,2013_2014_2015
rockfish,landed_value,26.7,2015,2013_2014_2015
roe.herring,landed_value,9.4,2015,2013_2014_2015
sablefish,landed_value,28.5,2015,2013_2014_2015
salmon,landed_value,515.5,2015,2013_2014_2015
sardine,landed_value,0,2015,2013_2014_2015
scallops,landed_value,0.1,2015,2013_2014_2015
sea cucumber,landed_value,7,2015,2013_2014_2015
sea urchin: green,landed_value,0.8,2015,2013_2014_2015
sea urchin: red,landed_value,5.6,2015,2013_2014_2015
shellfish,landed_value,173.6,2015,2013_2014_2015
shrimps,landed_value,14,2015,2013_2014_2015
skates,landed_value,0.6,2015,2013_2014_2015
sockeye,landed_value,14.5,2015,2013_2014_2015
soles,landed_value,3.8,2015,2013_2014_2015
spawn on kelp,landed_value,2.8,2015,2013_2014_2015
tuna,landed_value,13.8,2015,2013_2014_2015
wild shellfish,landed_value,149,2015,2013_2014_2015
wild salmon,landed_value,51.9,2015,2013_2014_2015
other-sum,landed_value,15.3,2015,2013_2014_2015
arrowtooth flounder,wholesale_value,5.3,2013,2013_2014_2015
chinook,wholesale_value,12.3,2013,2013_2014_2015
chum,wholesale_value,28.5,2013,2013_2014_2015
clams,wholesale_value,3,2013,2013_2014_2015
coho,wholesale_value,27.5,2013,2013_2014_2015
crabs,wholesale_value,64.2,2013,2013_2014_2015
dogfish,wholesale_value,0.5,2013,2013_2014_2015
farmed atlantic,wholesale_value,410.2,2013,2013_2014_2015
"farmed geoduck
& other clams",wholesale_value,11.2,2013,2013_2014_2015
farmed mussels & other,wholesale_value,4.6,2013,2013_2014_2015
farmed oysters,wholesale_value,24.6,2013,2013_2014_2015
farmed pacific,wholesale_value,51.6,2013,2013_2014_2015
farmed salmon,wholesale_value,461.8,2013,2013_2014_2015
farmed shellfish,wholesale_value,40.4,2013,2013_2014_2015
"food,.bait.&.other",wholesale_value,8.7,2013,2013_2014_2015
geoduck,wholesale_value,48.2,2013,2013_2014_2015
grand total b.c.,wholesale_value,1310.2,2013,2013_2014_2015
groundfish,wholesale_value,291.2,2013,2013_2014_2015
hake,wholesale_value,52,2013,2013_2014_2015
halibut,wholesale_value,110.7,2013,2013_2014_2015
herring,wholesale_value,45.7,2013,2013_2014_2015
lingcod,wholesale_value,10.4,2013,2013_2014_2015
other,wholesale_value,86.1,2013,2013_2014_2015
other,wholesale_value,24.1,2013,2013_2014_2015
other,wholesale_value,3.9,2013,2013_2014_2015
other-farmed,wholesale_value,22.9,2013,2013_2014_2015
other-wild,wholesale_value,5,2013,2013_2014_2015
pacific cod,wholesale_value,5.5,2013,2013_2014_2015
pink,wholesale_value,39.2,2013,2013_2014_2015
pollock,wholesale_value,3.9,2013,2013_2014_2015
prawns,wholesale_value,53.2,2013,2013_2014_2015
rockfish,wholesale_value,40,2013,2013_2014_2015
roe.herring,wholesale_value,35,2013,2013_2014_2015
sablefish,wholesale_value,25.8,2013,2013_2014_2015
salmon,wholesale_value,640.3,2013,2013_2014_2015
sardine,wholesale_value,4.8,2013,2013_2014_2015
scallops,wholesale_value,3.1,2013,2013_2014_2015
sea cucumber,wholesale_value,7.4,2013,2013_2014_2015
sea urchin: green,wholesale_value,1.6,2013,2013_2014_2015
sea urchin: red,wholesale_value,12.9,2013,2013_2014_2015
shellfish,wholesale_value,246.9,2013,2013_2014_2015
shrimps,wholesale_value,9,2013,2013_2014_2015
skates,wholesale_value,1.2,2013,2013_2014_2015
sockeye,wholesale_value,69.3,2013,2013_2014_2015
soles,wholesale_value,11.8,2013,2013_2014_2015
spawn on kelp,wholesale_value,2,2013,2013_2014_2015
tuna,wholesale_value,53.4,2013,2013_2014_2015
wild shellfish,wholesale_value,206.5,2013,2013_2014_2015
wild salmon,wholesale_value,178.5,2013,2013_2014_2015
other-sum,wholesale_value,63.2,2013,2013_2014_2015
arrowtooth flounder,wholesale_value,7.6,2014,2013_2014_2015
chinook,wholesale_value,25,2014,2013_2014_2015
chum,wholesale_value,23.3,2014,2013_2014_2015
clams,wholesale_value,3.3,2014,2013_2014_2015
coho,wholesale_value,23.1,2014,2013_2014_2015
crabs,wholesale_value,68.8,2014,2013_2014_2015
dogfish,wholesale_value,0.3,2014,2013_2014_2015
farmed atlantic,wholesale_value,408.3,2014,2013_2014_2015
"farmed geoduck
& other clams",wholesale_value,11.5,2014,2013_2014_2015
farmed mussels & other,wholesale_value,9.3,2014,2013_2014_2015
farmed oysters,wholesale_value,29.7,2014,2013_2014_2015
farmed pacific,wholesale_value,53.4,2014,2013_2014_2015
farmed salmon,wholesale_value,461.7,2014,2013_2014_2015
farmed shellfish,wholesale_value,50.5,2014,2013_2014_2015
"food,.bait.&.other",wholesale_value,7.4,2014,2013_2014_2015
geoduck,wholesale_value,43.8,2014,2013_2014_2015
grand total b.c.,wholesale_value,1440.1,2014,2013_2014_2015
groundfish,wholesale_value,271.7,2014,2013_2014_2015
hake,wholesale_value,27.2,2014,2013_2014_2015
halibut,wholesale_value,105.5,2014,2013_2014_2015
herring,wholesale_value,43.3,2014,2013_2014_2015
lingcod,wholesale_value,12,2014,2013_2014_2015
other,wholesale_value,93.9,2014,2013_2014_2015
other,wholesale_value,16.1,2014,2013_2014_2015
other,wholesale_value,4.9,2014,2013_2014_2015
other-farmed,wholesale_value,31.7,2014,2013_2014_2015
other-wild,wholesale_value,6.2,2014,2013_2014_2015
pacific cod,wholesale_value,8.3,2014,2013_2014_2015
pink,wholesale_value,24.8,2014,2013_2014_2015
pollock,wholesale_value,8.7,2014,2013_2014_2015
prawns,wholesale_value,57.5,2014,2013_2014_2015
rockfish,wholesale_value,46.1,2014,2013_2014_2015
roe.herring,wholesale_value,32,2014,2013_2014_2015
sablefish,wholesale_value,27.7,2014,2013_2014_2015
salmon,wholesale_value,769,2014,2013_2014_2015
sardine,wholesale_value,0.5,2014,2013_2014_2015
scallops,wholesale_value,0.8,2014,2013_2014_2015
sea cucumber,wholesale_value,8.5,2014,2013_2014_2015
sea urchin: green,wholesale_value,1.5,2014,2013_2014_2015
sea urchin: red,wholesale_value,15.4,2014,2013_2014_2015
shellfish,wholesale_value,262.2,2014,2013_2014_2015
shrimps,wholesale_value,7.2,2014,2013_2014_2015
skates,wholesale_value,1.4,2014,2013_2014_2015
sockeye,wholesale_value,209.2,2014,2013_2014_2015
soles,wholesale_value,10.8,2014,2013_2014_2015
spawn on kelp,wholesale_value,3.9,2014,2013_2014_2015
tuna,wholesale_value,55.5,2014,2013_2014_2015
wild shellfish,wholesale_value,211.7,2014,2013_2014_2015
wild salmon,wholesale_value,307.3,2014,2013_2014_2015
other-sum,wholesale_value,62.2,2014,2013_2014_2015
arrowtooth flounder,wholesale_value,8.2,2015,2013_2014_2015
chinook,wholesale_value,22.5,2015,2013_2014_2015
chum,wholesale_value,32.8,2015,2013_2014_2015
clams,wholesale_value,3.3,2015,2013_2014_2015
coho,wholesale_value,22.1,2015,2013_2014_2015
crabs,wholesale_value,69.8,2015,2013_2014_2015
dogfish,wholesale_value,0.6,2015,2013_2014_2015
farmed atlantic,wholesale_value,529.2,2015,2013_2014_2015
"farmed geoduck
& other clams",wholesale_value,10.9,2015,2013_2014_2015
farmed mussels & other,wholesale_value,5.6,2015,2013_2014_2015
farmed oysters,wholesale_value,40.7,2015,2013_2014_2015
farmed pacific,wholesale_value,45.6,2015,2013_2014_2015
farmed salmon,wholesale_value,574.8,2015,2013_2014_2015
farmed shellfish,wholesale_value,57.2,2015,2013_2014_2015
"food,.bait.&.other",wholesale_value,10.5,2015,2013_2014_2015
geoduck,wholesale_value,39.9,2015,2013_2014_2015
grand total b.c.,wholesale_value,1431.8,2015,2013_2014_2015
groundfish,wholesale_value,271.8,2015,2013_2014_2015
hake,wholesale_value,39.7,2015,2013_2014_2015
halibut,wholesale_value,94.2,2015,2013_2014_2015
herring,wholesale_value,51.8,2015,2013_2014_2015
lingcod,wholesale_value,10.7,2015,2013_2014_2015
other,wholesale_value,81.5,2015,2013_2014_2015
other,wholesale_value,12,2015,2013_2014_2015
other,wholesale_value,5.5,2015,2013_2014_2015
other-farmed,wholesale_value,26.3,2015,2013_2014_2015
other-wild,wholesale_value,5.1,2015,2013_2014_2015
pacific cod,wholesale_value,6.2,2015,2013_2014_2015
pink,wholesale_value,11,2015,2013_2014_2015
pollock,wholesale_value,6.1,2015,2013_2014_2015
prawns,wholesale_value,47.8,2015,2013_2014_2015
rockfish,wholesale_value,51,2015,2013_2014_2015
roe.herring,wholesale_value,38,2015,2013_2014_2015
sablefish,wholesale_value,32.6,2015,2013_2014_2015
salmon,wholesale_value,747.6,2015,2013_2014_2015
sardine,wholesale_value,0.1,2015,2013_2014_2015
scallops,wholesale_value,1,2015,2013_2014_2015
sea cucumber,wholesale_value,10,2015,2013_2014_2015
sea urchin: green,wholesale_value,2.1,2015,2013_2014_2015
sea urchin: red,wholesale_value,18.3,2015,2013_2014_2015
shellfish,wholesale_value,279.1,2015,2013_2014_2015
shrimps,wholesale_value,24.2,2015,2013_2014_2015
skates,wholesale_value,1,2015,2013_2014_2015
sockeye,wholesale_value,82.5,2015,2013_2014_2015
soles,wholesale_value,9.5,2015,2013_2014_2015
spawn on kelp,wholesale_value,3.3,2015,2013_2014_2015
tuna,wholesale_value,50,2015,2013_2014_2015
wild shellfish,wholesale_value,221.9,2015,2013_2014_2015
wild salmon,wholesale_value,172.8,2015,2013_2014_2015
other-sum,wholesale_value,55.2,2015,2013_2014_2015
chinook,harvest,1.5,2011,2011_2012_2013
chum,harvest,5.8,2011,2011_2012_2013
clams,harvest,0.5,2011,2011_2012_2013
coho,harvest,1.2,2011,2011_2012_2013
crabs,harvest,3.4,2011,2011_2012_2013
dogfish,harvest,1,2011,2011_2012_2013
farmed atlantic,harvest,79.4,2011,2011_2012_2013
"farmed geoduck &
other clams",harvest,1.3,2011,2011_2012_2013
farmed oysters,harvest,7.3,2011,2011_2012_2013
farmed pacific,harvest,3.8,2011,2011_2012_2013
farmed salmon,harvest,83.2,2011,2011_2012_2013
farmed scallops and other,harvest,0.5,2011,2011_2012_2013
farmed shellfish,harvest,9.1,2011,2011_2012_2013
food and bait,harvest,4.1,2011,2011_2012_2013
geoducks,harvest,1.6,2011,2011_2012_2013
groundfish,harvest,99.6,2011,2011_2012_2013
hake,harvest,55.4,2011,2011_2012_2013
halibut,harvest,4.1,2011,2011_2012_2013
herring,harvest,10.8,2011,2011_2012_2013
lingcod,harvest,1.7,2011,2011_2012_2013
other,harvest,1.4,2011,2011_2012_2013
other,harvest,0.2,2011,2011_2012_2013
other,harvest,27.6,2011,2011_2012_2013
other-farmed,harvest,1.2,2011,2011_2012_2013
other-wild,harvest,0.3,2011,2011_2012_2013
pacific cod,harvest,1.9,2011,2011_2012_2013
pink,harvest,9.1,2011,2011_2012_2013
pollock,harvest,4,2011,2011_2012_2013
prawns,harvest,2.8,2011,2011_2012_2013
rockfish,harvest,18,2011,2011_2012_2013
roe herring,harvest,6.6,2011,2011_2012_2013
sablefish,harvest,2.1,2011,2011_2012_2013
salmon,harvest,103.9,2011,2011_2012_2013
sardines,harvest,20.7,2011,2011_2012_2013
scallops,harvest,0.01,2011,2011_2012_2013
sea cucumbers,harvest,1.7,2011,2011_2012_2013
sea urchins: green,harvest,0.06,2011,2011_2012_2013
sea urchins: red,harvest,2.5,2011,2011_2012_2013
shellfish,harvest,22.5,2011,2011_2012_2013
shrimp,harvest,0.6,2011,2011_2012_2013
sockeye,harvest,3.1,2011,2011_2012_2013
soles,harvest,5,2011,2011_2012_2013
spawn on kelp,harvest,0.1,2011,2011_2012_2013
tuna,harvest,5.4,2011,2011_2012_2013
wild salmon,harvest,20.7,2011,2011_2012_2013
wild shellfish,harvest,13.4,2011,2011_2012_2013
other-sum,harvest,26.4,2011,2011_2012_2013
chinook,harvest,0.9,2012,2011_2012_2013
chum,harvest,4.1,2012,2011_2012_2013
clams,harvest,0.4,2012,2011_2012_2013
coho,harvest,0.7,2012,2011_2012_2013
crabs,harvest,3.4,2012,2011_2012_2013
dogfish,harvest,0.9,2012,2011_2012_2013
farmed atlantic,harvest,72.9,2012,2011_2012_2013
"farmed geoduck &
other clams",harvest,1.3,2012,2011_2012_2013
farmed oysters,harvest,7.2,2012,2011_2012_2013
farmed pacific,harvest,5.5,2012,2011_2012_2013
farmed salmon,harvest,78.4,2012,2011_2012_2013
farmed scallops and other,harvest,0.4,2012,2011_2012_2013
farmed shellfish,harvest,8.9,2012,2011_2012_2013
food and bait,harvest,4.5,2012,2011_2012_2013
geoducks,harvest,1.5,2012,2011_2012_2013
groundfish,harvest,89.4,2012,2011_2012_2013
hake,harvest,46.9,2012,2011_2012_2013
halibut,harvest,3.7,2012,2011_2012_2013
herring,harvest,13.2,2012,2011_2012_2013
lingcod,harvest,1.5,2012,2011_2012_2013
other,harvest,1,2012,2011_2012_2013
other,harvest,0.2,2012,2011_2012_2013
other,harvest,22.9,2012,2011_2012_2013
other-farmed,harvest,0.9,2012,2011_2012_2013
other-wild,harvest,0.3,2012,2011_2012_2013
pacific cod,harvest,1.3,2012,2011_2012_2013
pink,harvest,1.2,2012,2011_2012_2013
pollock,harvest,5.1,2012,2011_2012_2013
prawns,harvest,1.8,2012,2011_2012_2013
rockfish,harvest,16.6,2012,2011_2012_2013
roe herring,harvest,8.6,2012,2011_2012_2013
sablefish,harvest,2.3,2012,2011_2012_2013
salmon,harvest,87.4,2012,2011_2012_2013
