section,year,date,length,width,layers,km,method,location,pool
135,1935,12-Apr,*,*,5.3,*,S,Whaletown Bay,pool 1
135,1943,11-Mar,366,9,7.83,*,S,Whaletown Bay,pool 1
135,1944,24-Feb,46,5,0.55,*,S,Marina Is,pool 1
135,1946,21-Mar,91,9,5.3,*,S,Whaletown Bay,pool 1
135,1965,22-Mar,5667,5,5.3,38,S,Marina Is,pool 1
135,1969,7-Mar,91,5,2.96,35,S,Whaletown Bay,pool 1
135,1971,22-Mar,274,3,1.34,4.1,S,Smelt Bay,pool 1
135,2015,7-Mar,5350,34,2.14,*,D,Whaletown Bay,pool 1
135,2015,7-Mar,5250,84,0.79,*,D,Marina Is,pool 1
135,2015,7-Mar,10500,134,2.17,*,D,Marina Is,pool 1
135,2015,7-Mar,1400,50,1.44,*,D,Deadman Island,pool 1
135,1930,12-Apr,*,*,5.3,*,S,Quadra Is S,pool 2
135,1930,16-Apr,*,*,2.74,*,S,Quadra Is S,pool 2
135,1931,1-Apr,*,*,5.3,*,S,Hyacinthe Bay,pool 2
135,1931,17-Apr,*,*,5.3,*,S,Quadra Is S,pool 2
135,1932,11-Apr,*,*,7.83,*,S,Quadra Is S,pool 2
135,1932,18-Apr,*,*,2.74,*,S,Hyacinthe Bay,pool 2
135,1933,11-Apr,*,*,7.83,*,S,Quadra Is S,pool 2
135,1933,18-Apr,*,*,2.74,*,S,Hyacinthe Bay,pool 2
135,1934,21-Mar,*,*,2.74,*,S,Rebecca Spit,pool 2
135,1935,12-Apr,*,*,7.83,*,S,Drew Hrbr,pool 2
135,1935,*,*,*,2.74,*,S,Hyacinthe Bay,pool 2
135,1936,3-Apr,*,*,7.83,*,S,Hyacinthe Bay,pool 2
135,1937,22-May,457,*,2.74,*,S,Hyacinthe Bay,pool 2
135,1938,2-Apr,1206,*,7.83,*,S,Hyacinthe Bay,pool 2
135,1939,7-Apr,1206,*,7.83,*,S,Hyacinthe Bay,pool 2
135,1940,3-Apr,1206,*,2.74,*,S,Hyacinthe Bay,pool 2
135,1941,15-Apr,1206,*,0.55,*,S,Hyacinthe Bay,pool 2
135,1943,12-Apr,1097,11,7.83,*,S,Hyacinthe Bay,pool 2
135,1946,20-Apr,46,14,1.34,*,S,Hyacinthe Bay,pool 2
135,1950,7-Apr,274,6,1.34,50.4,S,Hyacinthe Bay,pool 2
135,1950,26-Apr,59,1,2.74,51,S,Hyacinthe Bay,pool 2
135,1951,27-Mar,114,2,2.96,50.2,S,Hyacinthe Bay,pool 2
135,1951,27-Mar,46,18,2.96,52.7,S,Hyacinthe Bay,pool 2
135,1951,27-Mar,23,23,5.3,52.8,S,Hyacinthe Bay,pool 2
135,1951,27-Mar,251,3,1.34,52.9,S,Hyacinthe Bay,pool 2
135,1951,27-Mar,91,5,5.3,54,S,Hyacinthe Bay,pool 2
135,1952,13-Apr,91,2,0.55,*,S,Heriot Bay,pool 2
135,1954,24-Mar,23,14,2.96,*,S,Francisco Pt,pool 2
135,1954,24-Mar,18,9,2.96,*,S,Francisco Pt,pool 2
135,1954,24-Mar,91,23,2.96,*,S,Francisco Pt,pool 2
135,1954,30-Mar,548,7,2.96,*,S,Cape Mudge,pool 2
135,1955,15-Mar,274,6,1.34,*,S,Francisco Pt,pool 2
135,1955,26-Mar,91,5,2.96,*,S,Cape Mudge,pool 2
135,1955,1-Apr,46,2,2.96,*,S,Francisco Pt,pool 2
135,1955,1-Apr,160,46,2.96,*,S,Francisco Pt,pool 2
135,1955,2-Apr,274,46,2.96,*,S,Francisco Pt,pool 2
135,1955,2-Apr,503,14,1.34,*,S,Francisco Pt,pool 2
135,1955,2-Apr,91,9,1.34,*,S,Francisco Pt,pool 2
135,1955,2-Apr,46,3,2.96,*,S,Francisco Pt,pool 2
135,1955,2-Apr,457,18,2.96,*,S,Francisco Pt,pool 2
135,1956,9-Apr,183,46,2.96,74,S,Francisco Pt,pool 2
135,1956,16-Apr,183,91,0.55,79,S,Cape Mudge,pool 2
135,1959,18-Mar,1828,14,2.15,74,S,Francisco Pt,pool 2
135,1960,13-Mar,9414,18,2.96,66,S,Francisco Pt,pool 2
135,1960,25-Mar,640,2,1.34,54,S,Hyacinthe Bay,pool 2
135,1960,3-Apr,731,3,2.96,52,S,Hyacinthe Bay,pool 2
135,1960,3-Apr,731,3,1.34,54,S,Hyacinthe Bay,pool 2
135,1960,3-Apr,18,9,2.96,55,S,Hyacinthe Bay,pool 2
135,1960,3-Apr,1645,5,5.3,59,S,Hyacinthe Bay,pool 2
135,1960,3-Apr,457,5,2.96,60,S,Hyacinthe Bay,pool 2
135,1960,3-Apr,2102,4,5.3,57,S,Heriot Bay,pool 2
135,1961,14-Mar,2742,18,2.96,72,S,Sutil Chnl,pool 2
135,1961,20-Mar,274,46,2.96,74,S,Sutil Chnl,pool 2
135,1961,25-Mar,3656,11,2.96,68,S,Sutil Chnl,pool 2
135,1961,31-Mar,274,14,5.3,51,S,Hyacinthe Bay,pool 2
135,1961,1-Apr,366,9,1.34,65,S,Rebecca Spit,pool 2
135,1961,2-Apr,137,37,1.34,51,S,Hyacinthe Bay,pool 2
135,1961,2-Apr,274,5,2.96,51,S,Hyacinthe Bay,pool 2
135,1961,2-Apr,914,9,2.96,55,S,Heriot Bay,pool 2
135,1961,5-Apr,274,4,2.96,56,S,Heriot Bay,pool 2
135,1962,18-Mar,274,5,2.96,51,S,Hyacinthe Bay,pool 2
