areaid,cell_id,ocean_pct,dfo_rgn_weight
cc,53382,0.64,0.0625
cc,53383,0.21,0.6666666666666667
cc,53384,0.14,0.9285714285714285
cc,54101,1,0.19
cc,54102,1,0.95
cc,54103,0.86,1
cc,54104,0.48,1
cc,54105,0.2,0.8999999999999999
cc,54106,0.16,0.0625
cc,54822,1,0.26
cc,54823,1,0.94
cc,54824,0.71,1
cc,54825,0.28,1
cc,54826,0.05,1
cc,55543,1,0.17
cc,55544,0.99,0.898989898989899
cc,55545,0.64,1
cc,55546,0.05,0.7999999999999999
cc,56264,0.57,0.15789473684210528
cc,56265,0.31,0.6774193548387096
cc,56266,0.5,0.02
sog,55546,0.05,0.39999999999999997
sog,55547,0.07,1
sog,56265,0.31,0.06451612903225806
sog,56266,0.5,1
sog,56267,0.44,1
sog,56268,0.21,1
sog,56269,0.16,0.8750000000000001
sog,56270,0.02,1
sog,56271,0.14,0.2857142857142857
sog,56988,0.06,1
sog,56989,0.11,1
sog,56990,0.36,1
sog,56991,0.24,1
sog,56993,0.07,0.2857142857142857
sog,57710,0.11,1
sog,57711,0.71,1
sog,57712,0.39,1
sog,57713,0.1,1
sog,57714,0.07,0.857142857142857
sog,58431,0.12,1
sog,58432,0.34,1
sog,58433,0.72,1
sog,58434,0.56,0.8749999999999999
sog,58435,0.08,0.25
sog,59153,0.14,0.7142857142857143
sog,59154,0.41,0.07317073170731707
wcvi,56984,0.99,0.04040404040404041
wcvi,56985,0.45,0.5555555555555556
wcvi,56986,0.09,1
wcvi,57704,1,0.36
wcvi,57705,1,1
wcvi,57706,0.88,1
wcvi,57707,0.34,0.9705882352941176
wcvi,58425,1,0.6
wcvi,58426,1,1
wcvi,58427,0.98,1
wcvi,58428,0.72,1
wcvi,58429,0.24,1
wcvi,59145,1,0.03
wcvi,59146,1,0.77
wcvi,59147,1,1
wcvi,59148,1,1
wcvi,59149,0.99,1
wcvi,59150,0.81,0.8395061728395061
wcvi,59151,0.27,0.07407407407407407
wcvi,59866,1,0.07
wcvi,59867,1,0.22
wcvi,59868,0.92,0.3260869565217391
wcvi,59869,0.55,0.5272727272727272
wcvi,59870,0.21,0.1904761904761905
qci,53383,0.21,0.2380952380952381
qci,54100,1,0.02
qci,54101,1,0.38
qci,54102,1,0.82
qci,54103,0.86,1
qci,54104,0.48,0.6458333333333334
qci,54105,0.2,0.09999999999999999
qci,54819,1,0.09
qci,54820,1,0.91
qci,54821,1,1
qci,54822,1,1
qci,54823,1,1
qci,54824,0.71,1
qci,54825,0.28,0.9642857142857143
qci,54826,0.05,0.19999999999999998
qci,55540,1,0.91
qci,55541,1,1
qci,55542,1,1
qci,55543,1,1
qci,55544,0.99,1
qci,55545,0.64,1
qci,55546,0.05,0.19999999999999998
qci,56260,1,0.09
qci,56261,1,0.59
qci,56262,1,0.98
qci,56263,0.99,1
qci,56264,0.57,1
qci,56265,0.31,0.8387096774193549
qci,56982,1,0.15
qci,56983,1,0.67
qci,56984,0.99,0.9595959595959596
qci,56985,0.45,0.39999999999999997
qci,57704,1,0.03
hs,50499,0.33,0.3333333333333333
hs,50500,0.27,0.2962962962962963
hs,51216,0.88,0.5795454545454546
hs,51217,0.91,0.6703296703296703
hs,51218,1,0.83
hs,51219,0.88,1
hs,51220,0.31,1
hs,51936,0.17,0.23529411764705882
hs,51937,0.73,1
hs,51938,1,1
hs,51939,0.9,1
hs,51940,0.33,1
hs,51941,0.08,1
hs,52656,0.13,0.38461538461538464
hs,52657,0.71,1
hs,52658,1,1
hs,52659,1,1
hs,52660,0.77,1
hs,52661,0.45,1
hs,52662,0.4,0.625
hs,53377,0.39,0.5897435897435898
hs,53378,0.96,1
hs,53379,1,1
hs,53380,1,1
hs,53381,0.98,1
hs,53382,0.64,1
hs,53383,0.21,0.380952380952381
hs,54098,0.66,0.45454545454545453
hs,54099,0.99,0.9797979797979798
hs,54100,1,1
hs,54101,1,0.8
hs,54102,1,0.25
hs,54819,1,0.07
hs,54820,1,0.22
all,49780,0.05,0.6
all,49781,0.13,1
all,49782,0.01,1
all,50494,0.04,1
all,50495,0.27,1
all,50496,0.33,1
all,50497,0.4,1
all,50498,0.4,1
all,50499,0.33,1
all,50500,0.27,1
all,51209,0.02,1
all,51210,0.16,1
all,51211,0.32,1
all,51212,0.49,1
all,51213,0.73,1
all,51214,0.89,1
all,51215,0.74,1
all,51216,0.88,1
all,51217,0.91,1
all,51218,1,1
all,51219,0.88,1
all,51220,0.31,1
all,51223,0.01,1
all,51924,0.15,1
all,51925,0.33,1
all,51926,0.51,1
all,51927,0.68,1
all,51928,0.85,1
all,51929,0.99,1
all,51930,1,1
all,51931,1,1
all,51932,1,1
all,51933,1,1
all,51934,0.87,1
all,51935,0.04,1
all,51936,0.17,1
all,51937,0.73,1
all,51938,1,1
all,51939,0.9,1
all,51940,0.33,1
all,51941,0.08,1
all,51942,0.08,1
all,51943,0.2,1
all,52643,0.34,1
all,52644,1,1
all,52645,1,1
all,52646,1,1
all,52647,1,1
all,52648,1,1
all,52649,1,1
all,52650,1,1
all,52651,1,1
all,52652,1,1
all,52653,1,1
all,52654,1,1
all,52655,0.83,1
all,52656,0.13,1
all,52657,0.71,1
all,52658,1,1
all,52659,1,1
all,52660,0.77,1
all,52661,0.45,1
all,52662,0.4,1
all,52663,0.14,1
all,52664,0.01,1
all,53363,0.01,1
all,53364,0.83,1
all,53365,1,1
all,53366,1,1
all,53367,1,1
all,53368,1,1
all,53369,1,1
all,53370,1,1
all,53371,1,1
all,53372,1,1
all,53373,1,1
all,53374,1,1
all,53375,1,1
all,53376,0.73,1
all,53377,0.39,1
all,53378,0.96,1
all,53379,1,1
all,53380,1,1
all,53381,0.98,1
all,53382,0.64,1
all,53383,0.21,1
all,53384,0.14,1
all,53386,0.03,0.6666666666666667
all,54084,0.21,1
all,54085,0.97,1
all,54086,1,1
all,54087,1,1
all,54088,1,1
all,54089,1,1
all,54090,1,1
all,54091,1,1
all,54092,1,1
all,54093,1,1
all,54094,1,1
all,54095,1,1
all,54096,1,1
all,54097,0.93,1
all,54098,0.66,1
all,54099,0.99,1
all,54100,1,1
all,54101,1,1
all,54102,1,1
all,54103,0.86,1
all,54104,0.48,1
all,54105,0.2,1
all,54106,0.16,1
all,54107,0.07,1
all,54805,0.28,1
all,54806,0.97,1
all,54807,1,1
all,54808,1,1
all,54809,1,1
all,54810,1,1
all,54811,1,1
all,54812,1,1
all,54813,1,1
all,54814,1,1
all,54815,1,1
all,54816,1,1
all,54817,1,1
all,54818,0.98,1
all,54819,1,1
all,54820,1,1
all,54821,1,1
all,54822,1,1
all,54823,1,1
all,54824,0.71,1
all,54825,0.28,1
all,54826,0.05,1
all,54827,0.01,1
all,55526,0.26,1
all,55527,0.94,1
all,55528,1,1
all,55529,1,1
all,55530,1,1
all,55531,1,1
all,55532,1,1
all,55533,1,1
all,55534,1,1
all,55535,1,1
all,55536,1,1
all,55537,1,1
all,55538,1,1
all,55539,1,1
all,55540,1,1
all,55541,1,1
all,55542,1,1
all,55543,1,1
all,55544,0.99,1
all,55545,0.64,1
all,55546,0.05,1
all,55547,0.07,1
all,55549,0.03,1
all,56247,0.12,1
all,56248,0.79,1
all,56249,1,1
all,56250,1,1
all,56251,1,1
all,56252,1,1
all,56253,1,1
all,56254,1,1
all,56255,1,1
all,56256,1,1
all,56257,1,1
all,56258,1,1
all,56259,1,1
all,56260,1,1
all,56261,1,1
all,56262,1,1
all,56263,0.99,1
all,56264,0.57,1
all,56265,0.31,1
all,56266,0.5,1
all,56267,0.44,1
all,56268,0.21,1
all,56269,0.16,1
all,56270,0.02,1
all,56271,0.14,1
all,56968,0.01,1
all,56969,0.46,1
all,56970,0.98,1
all,56971,1,1
all,56972,1,1
all,56973,1,1
all,56974,1,1
all,56975,1,1
all,56976,1,1
all,56977,1,1
all,56978,1,1
all,56979,1,1
all,56980,1,1
all,56981,1,1
all,56982,1,1
all,56983,1,1
all,56984,0.99,1
all,56985,0.45,1
all,56986,0.09,1
all,56988,0.06,1
all,56989,0.11,1
all,56990,0.36,1
all,56991,0.24,1
all,56992,0.01,1
all,56993,0.07,1
all,57690,0.19,1
all,57691,0.81,1
all,57692,1,1
all,57693,1,1
all,57694,1,1
all,57695,1,1
all,57696,1,1
all,57697,1,1
all,57698,1,1
all,57699,1,1
all,57700,1,1
all,57701,1,1
all,57702,1,1
all,57703,1,1
all,57704,1,1
all,57705,1,1
all,57706,0.88,1
all,57707,0.34,1
all,57708,0.04,1
all,57710,0.11,1
all,57711,0.71,1
all,57712,0.39,1
all,57713,0.1,1
all,57714,0.07,1
all,58411,0.01,1
all,58412,0.39,1
all,58413,0.82,1
all,58414,1,1
all,58415,1,1
all,58416,1,1
all,58417,1,1
all,58418,1,1
all,58419,1,1
all,58420,1,1
all,58421,1,1
all,58422,1,1
all,58423,1,1
all,58424,1,1
all,58425,1,1
all,58426,1,1
all,58427,0.98,1
all,58428,0.72,1
all,58429,0.24,1
all,58430,0.03,1
all,58431,0.12,1
all,58432,0.34,1
all,58433,0.72,1
all,58434,0.56,1
all,58435,0.08,1
all,59134,0.27,1
all,59135,0.9,1
all,59136,1,1
all,59137,1,1
all,59138,1,1
all,59139,1,1
all,59140,1,1
all,59141,1,1
all,59142,1,1
all,59143,1,1
all,59144,1,1
all,59145,1,1
all,59146,1,1
all,59147,1,1
all,59148,1,1
all,59149,0.99,1
all,59150,0.81,1
all,59151,0.27,1
all,59152,0.01,1
all,59153,0.14,1
all,59154,0.41,1
all,59855,0.06,1
all,59856,0.55,1
all,59857,0.97,1
all,59858,1,1
all,59859,1,1
all,59860,1,1
all,59861,1,1
all,59862,1,1
all,59863,1,1
all,59864,1,1
all,59865,1,1
all,59866,1,1
all,59867,1,1
all,59868,0.92,1
all,59869,0.55,1
all,59870,0.21,1
all,59871,0.03,1
all,59872,0.21,1
all,59873,0.21,1
all,59874,0.25,1
all,60577,0.19,1
all,60578,0.79,1
all,60579,1,1
all,60580,1,1
all,60581,1,1
all,60582,1,1
all,60583,1,1
all,60584,1,1
all,60585,1,1
all,60586,0.81,1
all,60587,0.39,1
all,60588,0.04,1
all,61298,0.01,1
all,61299,0.31,1
all,61300,0.75,1
all,61301,1,1
all,61302,1,1
all,61303,1,1
all,61304,0.86,1
all,61305,0.34,1
all,62021,0.34,1
all,62022,0.8,1
all,62023,0.48,1
all,62024,0.02,1
