species,year,tonnes,raw_val,gapfill,x
pacific_cupped_oyster,1950,2e3,2000 F,NA,65
rainbow_trout,1950,200,200,NA,43
pacific_cupped_oyster,1951,2e3,2000 F,NA,65
rainbow_trout,1951,200,200,NA,43
pacific_cupped_oyster,1952,2e3,2000 F,NA,65
rainbow_trout,1952,200,200,NA,43
pacific_cupped_oyster,1953,2e3,2000 F,NA,65
rainbow_trout,1953,200,200,NA,43
pacific_cupped_oyster,1954,2e3,2000 F,NA,65
rainbow_trout,1954,300,300,NA,43
pacific_cupped_oyster,1955,2e3,2000 F,NA,65
rainbow_trout,1955,100,100,NA,43
pacific_cupped_oyster,1956,2100,2100 F,NA,65
rainbow_trout,1956,100,100,NA,43
pacific_cupped_oyster,1957,2100,2100 F,NA,65
rainbow_trout,1957,100,100,NA,43
pacific_cupped_oyster,1958,2300,2300 F,NA,65
rainbow_trout,1958,100,100,NA,43
pacific_cupped_oyster,1959,2300,2300 F,NA,65
rainbow_trout,1959,100,100,NA,43
pacific_cupped_oyster,1960,2300,2300 F,NA,65
rainbow_trout,1960,100,100,NA,43
pacific_cupped_oyster,1961,2300,2300 F,NA,65
rainbow_trout,1961,100,100,NA,43
pacific_cupped_oyster,1962,2400,2400 F,NA,65
rainbow_trout,1962,100,100,NA,43
pacific_cupped_oyster,1963,2500,2500 F,NA,65
rainbow_trout,1963,100,100,NA,43
pacific_cupped_oyster,1964,2500,2500 F,NA,65
rainbow_trout,1964,100,100,NA,43
pacific_cupped_oyster,1965,2500,2500 F,NA,65
rainbow_trout,1965,100,100,NA,43
pacific_cupped_oyster,1966,2500,2500 F,NA,65
rainbow_trout,1966,100,100,NA,43
pacific_cupped_oyster,1967,2500,2500 F,NA,65
rainbow_trout,1967,100,100,NA,43
pacific_cupped_oyster,1968,2600,2600 F,NA,65
rainbow_trout,1968,100,100,NA,43
pacific_cupped_oyster,1969,2600,2600 F,NA,65
rainbow_trout,1969,100,100,NA,43
pacific_cupped_oyster,1970,2700,2700,NA,65
rainbow_trout,1970,100,100,NA,43
pacific_cupped_oyster,1971,2900,2900,NA,65
rainbow_trout,1971,100,100,NA,43
