year,species,rgn_id,tot_harvest,rgn_harvest,genetic_escapees,whence
1950,pacific_cupped_oyster,2,2e3,0,0.1,species in MSI
1950,pacific_cupped_oyster,4,2e3,146.8,0.1,species in MSI
1950,pacific_cupped_oyster,5,2e3,36.4,0.1,species in MSI
1950,pacific_cupped_oyster,6,2e3,1816.8,0.1,species in MSI
1950,rainbow_trout,3,200,0,1,high risk analogous to native coho/silver salmon
1950,rainbow_trout,4,200,0.88,1,high risk analogous to native coho/silver salmon
1950,rainbow_trout,5,200,105.60000000000001,1,high risk analogous to native coho/silver salmon
1950,rainbow_trout,6,200,93.52000000000001,1,high risk analogous to native coho/silver salmon
1950,rainbow_trout,8,200,0,1,high risk analogous to native coho/silver salmon
1951,pacific_cupped_oyster,2,2e3,0,0.1,species in MSI
1951,pacific_cupped_oyster,4,2e3,146.8,0.1,species in MSI
1951,pacific_cupped_oyster,5,2e3,36.4,0.1,species in MSI
1951,pacific_cupped_oyster,6,2e3,1816.8,0.1,species in MSI
1951,rainbow_trout,3,200,0,1,high risk analogous to native coho/silver salmon
1951,rainbow_trout,4,200,0.88,1,high risk analogous to native coho/silver salmon
1951,rainbow_trout,5,200,105.60000000000001,1,high risk analogous to native coho/silver salmon
1951,rainbow_trout,6,200,93.52000000000001,1,high risk analogous to native coho/silver salmon
1951,rainbow_trout,8,200,0,1,high risk analogous to native coho/silver salmon
1952,pacific_cupped_oyster,2,2e3,0,0.1,species in MSI
1952,pacific_cupped_oyster,4,2e3,146.8,0.1,species in MSI
1952,pacific_cupped_oyster,5,2e3,36.4,0.1,species in MSI
1952,pacific_cupped_oyster,6,2e3,1816.8,0.1,species in MSI
1952,rainbow_trout,3,200,0,1,high risk analogous to native coho/silver salmon
1952,rainbow_trout,4,200,0.88,1,high risk analogous to native coho/silver salmon
1952,rainbow_trout,5,200,105.60000000000001,1,high risk analogous to native coho/silver salmon
1952,rainbow_trout,6,200,93.52000000000001,1,high risk analogous to native coho/silver salmon
1952,rainbow_trout,8,200,0,1,high risk analogous to native coho/silver salmon
1953,pacific_cupped_oyster,2,2e3,0,0.1,species in MSI
1953,pacific_cupped_oyster,4,2e3,146.8,0.1,species in MSI
1953,pacific_cupped_oyster,5,2e3,36.4,0.1,species in MSI
1953,pacific_cupped_oyster,6,2e3,1816.8,0.1,species in MSI
1953,rainbow_trout,3,200,0,1,high risk analogous to native coho/silver salmon
1953,rainbow_trout,4,200,0.88,1,high risk analogous to native coho/silver salmon
1953,rainbow_trout,5,200,105.60000000000001,1,high risk analogous to native coho/silver salmon
1953,rainbow_trout,6,200,93.52000000000001,1,high risk analogous to native coho/silver salmon
1953,rainbow_trout,8,200,0,1,high risk analogous to native coho/silver salmon
1954,pacific_cupped_oyster,2,2e3,0,0.1,species in MSI
1954,pacific_cupped_oyster,4,2e3,146.8,0.1,species in MSI
1954,pacific_cupped_oyster,5,2e3,36.4,0.1,species in MSI
1954,pacific_cupped_oyster,6,2e3,1816.8,0.1,species in MSI
1954,rainbow_trout,3,300,0,1,high risk analogous to native coho/silver salmon
1954,rainbow_trout,4,300,1.32,1,high risk analogous to native coho/silver salmon
1954,rainbow_trout,5,300,158.4,1,high risk analogous to native coho/silver salmon
1954,rainbow_trout,6,300,140.28,1,high risk analogous to native coho/silver salmon
1954,rainbow_trout,8,300,0,1,high risk analogous to native coho/silver salmon
1955,pacific_cupped_oyster,2,2e3,0,0.1,species in MSI
1955,pacific_cupped_oyster,4,2e3,146.8,0.1,species in MSI
1955,pacific_cupped_oyster,5,2e3,36.4,0.1,species in MSI
1955,pacific_cupped_oyster,6,2e3,1816.8,0.1,species in MSI
1955,rainbow_trout,3,100,0,1,high risk analogous to native coho/silver salmon
1955,rainbow_trout,4,100,0.44,1,high risk analogous to native coho/silver salmon
1955,rainbow_trout,5,100,52.800000000000004,1,high risk analogous to native coho/silver salmon
1955,rainbow_trout,6,100,46.760000000000005,1,high risk analogous to native coho/silver salmon
1955,rainbow_trout,8,100,0,1,high risk analogous to native coho/silver salmon
1956,pacific_cupped_oyster,2,2100,0,0.1,species in MSI
1956,pacific_cupped_oyster,4,2100,154.14000000000001,0.1,species in MSI
1956,pacific_cupped_oyster,5,2100,38.22,0.1,species in MSI
1956,pacific_cupped_oyster,6,2100,1907.6399999999999,0.1,species in MSI
1956,rainbow_trout,3,100,0,1,high risk analogous to native coho/silver salmon
1956,rainbow_trout,4,100,0.44,1,high risk analogous to native coho/silver salmon
1956,rainbow_trout,5,100,52.800000000000004,1,high risk analogous to native coho/silver salmon
1956,rainbow_trout,6,100,46.760000000000005,1,high risk analogous to native coho/silver salmon
1956,rainbow_trout,8,100,0,1,high risk analogous to native coho/silver salmon
1957,pacific_cupped_oyster,2,2100,0,0.1,species in MSI
1957,pacific_cupped_oyster,4,2100,154.14000000000001,0.1,species in MSI
1957,pacific_cupped_oyster,5,2100,38.22,0.1,species in MSI
1957,pacific_cupped_oyster,6,2100,1907.6399999999999,0.1,species in MSI
1957,rainbow_trout,3,100,0,1,high risk analogous to native coho/silver salmon
1957,rainbow_trout,4,100,0.44,1,high risk analogous to native coho/silver salmon
1957,rainbow_trout,5,100,52.800000000000004,1,high risk analogous to native coho/silver salmon
1957,rainbow_trout,6,100,46.760000000000005,1,high risk analogous to native coho/silver salmon
1957,rainbow_trout,8,100,0,1,high risk analogous to native coho/silver salmon
1958,pacific_cupped_oyster,2,2300,0,0.1,species in MSI
1958,pacific_cupped_oyster,4,2300,168.82000000000002,0.1,species in MSI
1958,pacific_cupped_oyster,5,2300,41.86,0.1,species in MSI
1958,pacific_cupped_oyster,6,2300,2089.32,0.1,species in MSI
1958,rainbow_trout,3,100,0,1,high risk analogous to native coho/silver salmon
1958,rainbow_trout,4,100,0.44,1,high risk analogous to native coho/silver salmon
1958,rainbow_trout,5,100,52.800000000000004,1,high risk analogous to native coho/silver salmon
1958,rainbow_trout,6,100,46.760000000000005,1,high risk analogous to native coho/silver salmon
1958,rainbow_trout,8,100,0,1,high risk analogous to native coho/silver salmon
1959,pacific_cupped_oyster,2,2300,0,0.1,species in MSI
1959,pacific_cupped_oyster,4,2300,168.82000000000002,0.1,species in MSI
1959,pacific_cupped_oyster,5,2300,41.86,0.1,species in MSI
1959,pacific_cupped_oyster,6,2300,2089.32,0.1,species in MSI
1959,rainbow_trout,3,100,0,1,high risk analogous to native coho/silver salmon
1959,rainbow_trout,4,100,0.44,1,high risk analogous to native coho/silver salmon
1959,rainbow_trout,5,100,52.800000000000004,1,high risk analogous to native coho/silver salmon
1959,rainbow_trout,6,100,46.760000000000005,1,high risk analogous to native coho/silver salmon
1959,rainbow_trout,8,100,0,1,high risk analogous to native coho/silver salmon
1960,pacific_cupped_oyster,2,2300,0,0.1,species in MSI
