MR.Occur.ID,Within.geo.of.reference,Species.ID,Ecoregion.code,Occur.ref
1665,Yes,608,20041,Ref005
1666,Yes,515,20030,Ref037
1667,Yes,515,25035,Ref037
1668,Yes,515,25057,Ref005
1669,Yes,736,25036,Ref025
1670,Yes,789,25034,Ref012
1671,No,789,25032,Ref333
1672,Yes,790,25031,Ref334
1673,No,294,20030,Ref006
1674,No,294,25031,Ref006
1675,Yes,720,25031,Ref025
1676,Yes,720,25033,Ref025
1677,Yes,396,25032,Ref037
1678,Yes,396,25031,Ref335
1679,Yes,356,25059,Ref002
1680,Yes,602,25032,Ref336
1681,Yes,795,25058,Ref337
1682,Yes,795,20041,Ref337
1683,Yes,795,20039,Ref337
1684,Yes,621,25035,Ref037
1685,Yes,621,25056,Ref005
1686,Yes,303,25059,"Ref006, Ref005"
1687,No,616,20062,Ref333
1688,Yes,616,20043,Ref333
1689,Yes,616,20070,Ref333
1690,Yes,616,25042,Ref333
1691,Yes,548,20070,Ref005
1,Yes,705,25059,Ref002
2,Yes,705,25058,Ref002
3,Yes,259,25152,Ref009
4,Yes,282,20211,Ref006
5,Yes,282,20207,Ref006
6,Yes,282,20205,Ref006
7,Yes,28,20211,Ref006
8,Yes,28,20209,Ref006
9,Yes,28,20205,Ref006
10,Yes,28,20204,Ref006
11,Yes,28,20206,Ref006
12,Yes,385,25152,Ref009
13,Yes,560,20043,Ref019
14,Yes,378,25152,Ref009
15,Yes,395,25152,Ref009
16,Yes,29,20211,Ref006
17,Yes,29,20208,Ref006
18,Yes,29,20209,Ref006
19,Yes,29,20207,Ref006
20,Yes,29,20205,Ref006
21,Yes,29,20204,Ref006
22,Yes,29,20206,Ref006
23,Yes,29,20200,Ref006
24,Yes,10,20205,Ref002
25,Yes,10,20204,Ref002
26,Yes,10,20206,Ref002
27,Yes,151,25152,Ref009
28,Yes,579,20043,Ref019
29,Yes,579,25042,Ref019
30,Yes,382,25152,Ref009
31,Yes,383,25152,Ref009
32,Yes,706,20024,Ref025
33,Yes,522,20070,Ref019
34,Yes,522,20043,Ref019
35,Yes,522,25042,Ref019
36,Yes,707,25152,Ref009
37,Yes,545,20070,Ref019
38,Yes,30,20211,Ref006
39,Yes,30,20208,Ref006
40,Yes,30,20207,Ref006
41,Yes,30,20205,Ref006
42,Yes,30,20204,Ref006
43,Yes,30,20206,Ref006
44,Yes,283,20144,Ref006
45,Yes,283,20145,Ref006
46,Yes,283,20134,Ref006
47,Yes,283,20136,Ref006
49,Yes,283,20137,Ref006
50,Yes,283,20140,Ref006
51,Yes,283,20139,Ref006
52,Yes,283,20141,Ref006
53,Yes,283,20138,Ref006
54,Yes,283,20143,Ref006
55,Yes,283,20142,Ref006
56,Yes,283,20150,Ref006
57,Yes,283,20211,Ref006
58,Yes,283,20210,Ref006
59,Yes,283,20208,Ref006
60,Yes,283,20209,Ref006
61,Yes,283,20207,Ref006
62,Yes,283,20205,Ref006
63,Yes,283,20204,Ref006
64,Yes,283,20206,Ref006
65,Yes,283,20203,Ref006
66,Yes,283,20202,Ref006
67,Yes,283,25196,Ref006
68,Yes,283,20197,Ref006
69,Yes,283,25199,Ref006
70,Yes,152,25152,Ref009
71,Yes,518,20037,Ref019
72,Yes,518,20063,Ref019
73,Yes,518,20064,Ref019
74,Yes,518,20070,Ref019
75,Yes,518,20066,Ref019
76,Yes,518,20067,Ref019
77,Yes,518,20071,Ref019
78,Yes,518,20177,Ref019
79,Yes,518,20176,Ref019
80,Yes,518,25058,Ref019
81,Yes,518,25042,Ref019
82,Yes,518,25040,Ref019
83,Yes,284,20144,"Ref006, Ref009"
84,Yes,284,20145,"Ref006, Ref009"
85,Yes,284,20137,"Ref006, Ref009"
86,Yes,284,20141,"Ref006, Ref009"
87,Yes,284,20142,"Ref006, Ref009"
88,Yes,284,25147,"Ref006, Ref009"
89,Yes,284,25152,"Ref006, Ref009"
90,Yes,284,20211,"Ref006, Ref009"
91,Yes,284,20210,"Ref006, Ref009"
92,Yes,284,20209,"Ref006, Ref009"
93,Yes,284,20207,"Ref006, Ref009"
94,Yes,284,20205,"Ref006, Ref009"
95,Yes,284,20204,"Ref006, Ref009"
96,Yes,284,20206,"Ref006, Ref009"
