rgn_name,rgn_id,csduid,csdname,csdtype,area_km2,ohibc_area_km2,prop_rgn
North Vancouver Island,4,5943816,Quatsino Subdivision 18,IRI,0.2415809118556101,0.2415809118556101,1
Strait of Georgia,6,5915062,Bowen Island,IM,50.53392718044457,50.53392718044457,1
Central Coast,3,5943027,Mount Waddington B,RDA,2601.690219295608,1.12283793745197,4e-4
North Vancouver Island,4,5943027,Mount Waddington B,RDA,2601.690219295608,2549.1927880698922,0.9798
West Vancouver Island,5,5943027,Mount Waddington B,RDA,2601.690219295608,51.37459328823726,0.0197
West Vancouver Island,5,5919814,Malachan 11,IRI,0.5704555091577638,0.5704555091577638,1
Strait of Georgia,6,5921804,Nanaimo Town 1,IRI,0.20197589374048264,0.20197589374048264,1
West Vancouver Island,5,5917811,Esquimalt,IRI,0.21668551288571908,0.21668551288571908,1
Strait of Georgia,6,5921806,Qualicum,IRI,0.7786557997449413,0.7786557997449413,1
Strait of Georgia,6,5915055,West Vancouver,DM,88.75445940001799,88.75445940001799,1
Strait of Georgia,6,5909843,Peters 1,IRI,1.1483130608062,1.1483130608062,1
Strait of Georgia,6,5927020,Powell River E,RDA,73.13488444624471,73.1348844462447,1
Strait of Georgia,6,5919015,Cowichan Valley G,RDA,295.30929074654796,295.30929074654796,1
Strait of Georgia,6,5909036,Fraser Valley E,RDA,771.9817091614575,769.863713384621,0.9973
Strait of Georgia,6,5909826,Skway 5,IRI,2.7742419019022386,2.7742419019022386,1
Strait of Georgia,6,5919016,Lake Cowichan,T,9.73104063368777,9.73104063368777,1
North Vancouver Island,4,5943012,Port McNeill,T,13.920387819877144,13.920387819877144,1
North Vancouver Island,4,5943817,Thomas Point 5,IRI,0.2276552066242285,0.2276552066242285,1
Strait of Georgia,6,5909827,Soowahlie 14,IRI,4.734610716141045,4.734610716141045,1
Strait of Georgia,6,5915075,Maple Ridge,DM,284.511020563829,284.51102056382905,1
Strait of Georgia,6,5915811,Seymour Creek 2,IRI,0.4904884821722666,0.4904884821722666,1
West Vancouver Island,5,5917819,T'Sou-ke,IRI,0.7462648269003741,0.7462648269003741,1
Strait of Georgia,6,5909060,Fraser Valley F,RDA,2124.759974352958,2124.759974352958,1
North Vancouver Island,4,5943815,Kippase 2,IRI,0.13956610694787466,0.13956610694787466,1
Strait of Georgia,6,5909884,Skowkale,IRI,0.7157397411676645,0.7157397411676645,1
Strait of Georgia,6,5915807,Mission 1,IRI,0.27763507661515474,0.27763507661515474,1
North Vancouver Island,4,5943809,Hopetown 10A,IRI,0.031031721883386373,0.031031721883386373,1
Strait of Georgia,6,5926022,Comox Valley B (Lazo North),RDA,56.79213568079918,56.79213568079917,1
West Vancouver Island,5,5923019,Ucluelet,DM,6.764386270436548,6.764386270436548,1
West Vancouver Island,5,5917015,Central Saanich,DM,41.33897463753708,3.4298761458793905,0.083
Strait of Georgia,6,5917015,Central Saanich,DM,41.33897463753708,37.90909849165489,0.917
Strait of Georgia,6,5909048,Fraser Valley C,RDA,3928.668839784991,3918.442590512454,0.9974
Strait of Georgia,6,5909852,Paqulh,IRI,0.27695080042508247,0.27695080042508247,1
Strait of Georgia,6,5917802,Union Bay 4,IRI,0.289452205778975,0.289452205778975,1
Strait of Georgia,6,5915020,Greater Vancouver A,RDA,868.4009934248619,868.4009934248619,1
Strait of Georgia,6,5921018,Parksville,CY,14.501491190470365,14.501491190470365,1
Strait of Georgia,6,5924840,Homalco 9,IRI,0.5635253051228524,0.5635253051228524,1
West Vancouver Island,5,5923822,Klehkoot 2,IRI,1.2836691675446605,1.2836691675446605,1
Strait of Georgia,6,5917010,Sidney,T,5.1078672546124455,5.1078672546124455,1
Strait of Georgia,6,5921008,Lantzville,DM,27.656824441049725,27.656824441049725,1
Strait of Georgia,6,5929028,Sunshine Coast F,RDA,381.4968518823228,381.49685188232286,1
