rgn_id,pop_cat,pop_in_pop_cat
1,1001–2000,59
1,2001–5000,6351
1,5001–50 000,32782
1,First Nations,3024
1,Under 1000,760
2,First Nations,1323
2,Under 1000,3047
3,1001–2000,18
3,First Nations,2332
3,Under 1000,1125
4,2001–5000,8346
4,5001–50 000,17923
4,First Nations,2466
4,Under 1000,4020
5,1001–2000,9672
5,2001–5000,11144
5,50 001–500 000,174788
5,5001–50 000,111960
5,First Nations,5237
5,Under 1000,2258
6,1001–2000,14740
6,2001–5000,90118
6,50 001–500 000,1805444
6,5001–50 000,510966
6,First Nations,26088
6,More than 500 000,603502
6,Under 1000,2905
8,Under 1000,1
