rgn_id,class,pop_in_class
1,private_septic_systems,12942.998
1,sewage_haulage_holding_tanks,506.035
1,sewers,26496.616
2,private_septic_systems,1486.936
2,sewage_haulage_holding_tanks,118.833
2,sewers,1441.231
3,private_septic_systems,556.938
3,sewage_haulage_holding_tanks,44.325
3,sewers,541.737
4,private_septic_systems,10600.026
4,sewage_haulage_holding_tanks,504.16100000000006
4,sewers,19176.467
5,private_septic_systems,59048.528
5,sewage_haulage_holding_tanks,2286.378
5,sewers,248475.94999999998
6,private_septic_systems,363959.778
6,sewage_haulage_holding_tanks,13140.877
6,sewers,2650484.227
8,private_septic_systems,0.488
8,sewage_haulage_holding_tanks,0.039
8,sewers,0.473
1,First Nations low risk,1848.0000000000002
2,First Nations low risk,992.25
3,First Nations low risk,1166
4,First Nations low risk,1056.857142857143
5,First Nations low risk,3570.6818181818185
6,First Nations low risk,17392.000000000004
