species,year,tonnes,raw_val
Atlantic salmon,1950,NA,...
Blue mussel,1950,NA,...
Chinook(=Spring=King) salmon,1950,NA,...
Coho(=Silver) salmon,1950,NA,...
Japanese carpet shell,1950,NA,...
Marine molluscs nei,1950,NA,...
Pacific cupped oyster,1950,2e3,2000 F
Rainbow trout,1950,200,200
Scallops nei,1950,NA,...
Atlantic salmon,1951,NA,...
Blue mussel,1951,NA,...
Chinook(=Spring=King) salmon,1951,NA,...
Coho(=Silver) salmon,1951,NA,...
Japanese carpet shell,1951,NA,...
Marine molluscs nei,1951,NA,...
Pacific cupped oyster,1951,2e3,2000 F
Rainbow trout,1951,200,200
Scallops nei,1951,NA,...
Atlantic salmon,1952,NA,...
Blue mussel,1952,NA,...
Chinook(=Spring=King) salmon,1952,NA,...
Coho(=Silver) salmon,1952,NA,...
Japanese carpet shell,1952,NA,...
Marine molluscs nei,1952,NA,...
Pacific cupped oyster,1952,2e3,2000 F
Rainbow trout,1952,200,200
Scallops nei,1952,NA,...
Atlantic salmon,1953,NA,...
Blue mussel,1953,NA,...
Chinook(=Spring=King) salmon,1953,NA,...
Coho(=Silver) salmon,1953,NA,...
Japanese carpet shell,1953,NA,...
Marine molluscs nei,1953,NA,...
Pacific cupped oyster,1953,2e3,2000 F
Rainbow trout,1953,200,200
Scallops nei,1953,NA,...
Atlantic salmon,1954,NA,...
Blue mussel,1954,NA,...
Chinook(=Spring=King) salmon,1954,NA,...
Coho(=Silver) salmon,1954,NA,...
Japanese carpet shell,1954,NA,...
Marine molluscs nei,1954,NA,...
Pacific cupped oyster,1954,2e3,2000 F
Rainbow trout,1954,300,300
Scallops nei,1954,NA,...
Atlantic salmon,1955,NA,...
Blue mussel,1955,NA,...
Chinook(=Spring=King) salmon,1955,NA,...
Coho(=Silver) salmon,1955,NA,...
Japanese carpet shell,1955,NA,...
Marine molluscs nei,1955,NA,...
Pacific cupped oyster,1955,2e3,2000 F
Rainbow trout,1955,100,100
Scallops nei,1955,NA,...
Atlantic salmon,1956,NA,...
Blue mussel,1956,NA,...
Chinook(=Spring=King) salmon,1956,NA,...
Coho(=Silver) salmon,1956,NA,...
Japanese carpet shell,1956,NA,...
Marine molluscs nei,1956,NA,...
Pacific cupped oyster,1956,2100,2100 F
Rainbow trout,1956,100,100
Scallops nei,1956,NA,...
Atlantic salmon,1957,NA,...
Blue mussel,1957,NA,...
Chinook(=Spring=King) salmon,1957,NA,...
Coho(=Silver) salmon,1957,NA,...
Japanese carpet shell,1957,NA,...
Marine molluscs nei,1957,NA,...
Pacific cupped oyster,1957,2100,2100 F
Rainbow trout,1957,100,100
Scallops nei,1957,NA,...
Atlantic salmon,1958,NA,...
Blue mussel,1958,NA,...
Chinook(=Spring=King) salmon,1958,NA,...
Coho(=Silver) salmon,1958,NA,...
Japanese carpet shell,1958,NA,...
Marine molluscs nei,1958,NA,...
Pacific cupped oyster,1958,2300,2300 F
Rainbow trout,1958,100,100
Scallops nei,1958,NA,...
Atlantic salmon,1959,NA,...
Blue mussel,1959,NA,...
Chinook(=Spring=King) salmon,1959,NA,...
Coho(=Silver) salmon,1959,NA,...
Japanese carpet shell,1959,NA,...
Marine molluscs nei,1959,NA,...
Pacific cupped oyster,1959,2300,2300 F
Rainbow trout,1959,100,100
