rgn_id,year,sm_area_km2,area_km2_tot
1,1990,2.28,21885.59
1,1991,2.28,21885.59
1,1992,2.28,21885.59
1,1993,2.28,21885.59
1,1994,2.28,21885.59
1,1995,2.28,21885.59
1,1996,2.28,21885.59
1,1997,2.28,21885.59
1,1998,2.28,21885.59
1,1999,2.28,21885.59
1,2000,2.28,21885.59
1,2001,2.28,21885.59
1,2002,2.28,21885.59
1,2003,2.28,21885.59
1,2004,2.28,21885.59
1,2005,2.28,21885.59
1,2006,2.28,21885.59
1,2007,2.28,21885.59
1,2008,2.28,21885.59
1,2009,2.28,21885.59
1,2010,2.28,21885.59
2,1990,4.12,14681.38
2,1991,4.12,14681.38
2,1992,4.12,14681.38
2,1993,4.12,14681.38
2,1994,4.12,14681.38
2,1995,4.12,14681.38
2,1996,4.12,14681.38
2,1997,4.12,14681.38
2,1998,4.12,14681.38
2,1999,4.12,14681.38
2,2000,4.12,14681.38
2,2001,4.12,14681.38
2,2002,4.12,14681.38
2,2003,4.12,14681.38
2,2004,4.12,14681.38
2,2005,4.12,14681.38
2,2006,4.12,14681.38
2,2007,4.12,14681.38
2,2008,4.12,14681.38
2,2009,4.12,14681.38
2,2010,4.12,14681.38
3,1990,0.88,18021.35
3,1991,0.88,18021.35
3,1992,0.88,18021.35
3,1993,0.88,18021.35
3,1994,0.88,18021.35
3,1995,0.88,18021.35
3,1996,0.88,18021.35
3,1997,0.88,18021.35
3,1998,0.88,18021.35
3,1999,0.88,18021.35
3,2000,0.88,18021.35
3,2001,0.88,18021.35
3,2002,0.88,18021.35
3,2003,0.88,18021.35
3,2004,0.88,18021.35
3,2005,0.88,18021.35
3,2006,0.88,18021.35
3,2007,0.88,18021.35
3,2008,0.88,18021.35
3,2009,0.88,18021.35
3,2010,0.88,18021.35
4,1990,0.66,19146.05
4,1991,0.66,19146.05
4,1992,0.66,19146.05
4,1993,0.65,19146.05
4,1994,0.65,19146.05
4,1995,0.65,19146.05
4,1996,0.65,19146.05
4,1997,0.65,19146.05
4,1998,0.65,19146.05
4,1999,0.65,19146.05
4,2000,0.65,19146.05
4,2001,0.65,19146.05
4,2002,0.65,19146.05
4,2003,0.65,19146.05
4,2004,0.65,19146.05
4,2005,0.65,19146.05
4,2006,0.64,19146.05
4,2007,0.64,19146.05
4,2008,0.64,19146.05
4,2009,0.64,19146.05
4,2010,0.64,19146.05
5,1990,6.41,13021.82
5,1991,6.42,13021.82
5,1992,6.44,13021.82
5,1993,6.46,13021.82
5,1994,6.48,13021.82
5,1995,6.5,13021.82
5,1996,6.51,13021.82
5,1997,6.53,13021.82
5,1998,6.55,13021.82
5,1999,6.57,13021.82
5,2000,6.59,13021.82
5,2001,6.58,13021.82
5,2002,6.58,13021.82
5,2003,6.58,13021.82
5,2004,6.58,13021.82
5,2005,6.58,13021.82
5,2006,6.58,13021.82
5,2007,6.58,13021.82
5,2008,6.58,13021.82
5,2009,6.58,13021.82
5,2010,6.58,13021.82
6,1990,13.1,17090.57
6,1991,13.04,17090.57
6,1992,12.97,17090.57
6,1993,12.9,17090.57
6,1994,12.83,17090.57
6,1995,12.77,17090.57
6,1996,12.7,17090.57
6,1997,12.63,17090.57
6,1998,12.56,17090.57
6,1999,12.5,17090.57
6,2000,12.43,17090.57
6,2001,12.42,17090.57
6,2002,12.42,17090.57
6,2003,12.42,17090.57
6,2004,12.41,17090.57
6,2005,12.41,17090.57
6,2006,12.4,17090.57
6,2007,12.4,17090.57
6,2008,12.4,17090.57
6,2009,12.39,17090.57
6,2010,12.39,17090.57
8,1990,0.43,2059.91
8,1991,0.43,2059.91
8,1992,0.43,2059.91
8,1993,0.43,2059.91
8,1994,0.43,2059.91
8,1995,0.43,2059.91
8,1996,0.43,2059.91
8,1997,0.43,2059.91
8,1998,0.43,2059.91
8,1999,0.43,2059.91
8,2000,0.43,2059.91
8,2001,0.43,2059.91
8,2002,0.43,2059.91
8,2003,0.43,2059.91
8,2004,0.43,2059.91
8,2005,0.43,2059.91
8,2006,0.43,2059.91
8,2007,0.43,2059.91
8,2008,0.43,2059.91
8,2009,0.43,2059.91
8,2010,0.43,2059.91
