year,rgn_id,n_fn,n_tot,pct_fn
1995,1,0,368,0
1995,2,0,347,0
1995,3,0,466,0
1995,4,0,1769,0
1995,5,0,1387,0
1995,6,0,1919,0
1995,7,0,381,0
1995,8,0,390,0
1996,1,224,2250,0.09955555555555555
1996,2,224,2226,0.10062893081761007
1996,3,226,2944,0.07676630434782608
1996,4,274,4923,0.05565711964249442
1996,5,70,3386,0.02067336089781453
1996,6,67,3043,0.02201774564574433
1996,7,7,1321,0.005299015897047691
1996,8,224,2282,0.09815950920245399
1997,1,236,1958,0.1205311542390194
1997,2,236,1939,0.12171222279525529
1997,3,240,2545,0.09430255402750491
1997,4,312,4322,0.07218880148079593
1997,5,109,3041,0.035843472541927
1997,6,99,2955,0.03350253807106599
1997,7,20,1179,0.016963528413910092
1997,8,236,1990,0.1185929648241206
1998,1,242,1919,0.12610734757686295
1998,2,242,1633,0.14819350887936314
1998,3,245,2200,0.11136363636363636
1998,4,559,3358,0.16646813579511613
1998,5,341,2509,0.13591072140294938
1998,6,265,2478,0.10694108151735271
1998,7,23,978,0.023517382413087935
1998,8,242,1776,0.13626126126126126
1999,1,470,3070,0.15309446254071662
1999,2,470,2745,0.17122040072859745
1999,3,480,3610,0.1329639889196676
1999,4,849,5319,0.15961646926113932
1999,5,442,3861,0.11447811447811448
1999,6,345,4175,0.08263473053892216
1999,7,42,1617,0.025974025974025976
1999,8,470,2936,0.1600817438692098
2000,1,246,1728,0.1423611111111111
2000,2,246,1333,0.18454613653413354
2000,3,252,1801,0.1399222654081066
2000,4,573,2804,0.2043509272467903
2000,5,355,2173,0.16336861481822365
2000,6,288,2768,0.10404624277456648
2000,7,26,769,0.033810143042912875
2000,8,246,1481,0.1661039837947333
2001,1,251,1687,0.14878482513337285
2001,2,249,1332,0.18693693693693694
2001,3,254,1798,0.14126807563959956
2001,4,574,2786,0.20603015075376885
2001,5,401,2126,0.18861712135465664
2001,6,302,2966,0.10182063385030343
2001,7,25,760,0.03289473684210526
2001,8,249,1480,0.16824324324324325
2002,1,252,1649,0.15281989084293512
2002,2,247,1302,0.18970814132104455
2002,3,255,1721,0.1481696687972109
2002,4,622,2790,0.22293906810035843
2002,5,398,2163,0.18400369856680537
2002,6,311,2927,0.10625213529210796
2002,7,26,764,0.034031413612565446
2002,8,247,1437,0.17188587334725122
2003,1,253,1612,0.15694789081885857
2003,2,253,1335,0.1895131086142322
2003,3,265,1733,0.1529140219272937
2003,4,661,2851,0.23184847421957208
2003,5,420,2240,0.1875
2003,6,341,2939,0.11602585913576047
2003,7,33,768,0.04296875
2003,8,253,1411,0.1793054571226081
2004,1,263,1648,0.1595873786407767
2004,2,256,1343,0.1906180193596426
2004,3,267,1749,0.15265866209262435
2004,4,634,2834,0.223712067748765
2004,5,415,2225,0.18651685393258427
2004,6,330,2891,0.11414735385679696
2004,7,32,769,0.04161248374512354
2004,8,256,1429,0.17914625612316304
2005,1,259,1664,0.15564903846153846
2005,2,252,1346,0.18722139673105498
2005,3,263,1774,0.14825253664036075
2005,4,576,2774,0.2076423936553713
2005,5,353,2143,0.16472235184321046
2005,6,318,2802,0.11349036402569593
2005,7,30,765,0.0392156862745098
2005,8,252,1459,0.17272104180945852
2006,1,263,1648,0.1595873786407767
2006,2,257,1399,0.1837026447462473
2006,3,268,1756,0.15261958997722094
2006,4,574,2735,0.20987202925045703
2006,5,354,1881,0.18819776714513556
2006,6,328,3008,0.10904255319148937
2006,7,33,784,0.042091836734693876
2006,8,257,1506,0.17065073041168657
2007,1,254,1467,0.17314246762099522
2007,2,253,1328,0.1905120481927711
2007,3,265,1629,0.16267648864333947
2007,4,500,2581,0.19372336303758234
2007,5,315,1830,0.1721311475409836
2007,6,306,3129,0.0977948226270374
2007,7,34,816,0.041666666666666664
2007,8,254,1421,0.17874736101337085
2008,1,246,1504,0.16356382978723405
2008,2,244,1329,0.1835966892400301
2008,3,259,1613,0.1605703657780533
2008,4,511,2560,0.199609375
2008,5,314,1773,0.17710095882684715
2008,6,314,2992,0.10494652406417113
2008,7,36,797,0.0451693851944793
2008,8,246,1366,0.1800878477306003
2009,1,268,1690,0.15857988165680473
2009,2,249,1296,0.19212962962962962
2009,3,266,1576,0.16878172588832488
2009,4,541,2527,0.21408785120696477
2009,5,327,1741,0.1878230901780586
2009,6,271,2678,0.10119492158327109
2009,7,37,769,0.04811443433029909
2009,8,255,1336,0.19086826347305388
2010,1,258,1540,0.16753246753246753
2010,2,244,1247,0.19566960705693665
2010,3,256,1516,0.16886543535620052
2010,4,461,2364,0.19500846023688664
2010,5,287,1633,0.17575015309246786
2010,6,319,2742,0.1163384390955507
2010,7,39,763,0.05111402359108781
2010,8,248,1283,0.19329696024941542
2011,1,287,1337,0.21465968586387435
2011,2,274,1236,0.22168284789644013
2011,3,293,1497,0.1957247828991316
2011,4,499,2392,0.20861204013377926
2011,5,311,1617,0.19233147804576375
2011,6,360,2895,0.12435233160621761
2011,7,59,766,0.07702349869451697
2011,8,278,1270,0.2188976377952756
