rgn_id,year,stock_status
1,2009,0.5
1,2010,0.5
1,2011,0.5
1,2012,0.5
1,2013,0.5
1,2014,0.5
1,2015,0.5
2,2009,0.5
2,2010,0.5
2,2011,0.5
2,2012,0.5
2,2013,0.5
2,2014,0.5
2,2015,0.5
3,2009,0.5
3,2010,0.5
3,2011,0.5
3,2012,0.5
3,2013,0.5
3,2014,0.5
3,2015,0.5
4,2009,0.5
4,2010,0.5
4,2011,0.5
4,2012,0.5
4,2013,0.5
4,2014,0.5
4,2015,0.5
5,2009,0.5
5,2010,0.5
5,2011,0.5
5,2012,0.5
5,2013,0.5
5,2014,0.5
5,2015,0.5
6,2009,0.5
6,2010,0.5
6,2011,0.5
6,2012,0.5
6,2013,0.5
6,2014,0.5
6,2015,0.5
8,2009,0.5
8,2010,0.5
8,2011,0.5
8,2012,0.5
8,2013,0.5
8,2014,0.5
8,2015,0.5
