rgn_id,year,shi_tot,rgn_name,rgn_code
1,1940,1099320.9117082534,North Coast,NC
1,1941,874914.9117082533,North Coast,NC
1,1942,901366.291746641,North Coast,NC
1,1943,242388.330134357,North Coast,NC
1,1944,471430.5047984645,North Coast,NC
1,1945,436774.8944337812,North Coast,NC
1,1946,1391750.019193858,North Coast,NC
1,1947,1227125.1170825337,North Coast,NC
1,1948,1475834.9692898272,North Coast,NC
1,1949,1469279.2418426103,North Coast,NC
1,1950,1555312.9596928982,North Coast,NC
1,1951,1281982.3550863725,North Coast,NC
1,1952,754372,North Coast,NC
1,1953,1123634,North Coast,NC
1,1954,985332.4049904031,North Coast,NC
1,1955,1091043,North Coast,NC
1,1956,1099611.142034549,North Coast,NC
1,1957,1369411,North Coast,NC
1,1958,443878,North Coast,NC
1,1959,1454880.7409436575,North Coast,NC
1,1960,1258038,North Coast,NC
1,1961,1115103.5759493671,North Coast,NC
1,1962,1671661,North Coast,NC
1,1963,865823,North Coast,NC
1,1964,1321620,North Coast,NC
1,1965,564484,North Coast,NC
1,1966,371272,North Coast,NC
1,1967,246160,North Coast,NC
1,1968,468262,North Coast,NC
1,1969,117929,North Coast,NC
1,1970,1033522.3955696203,North Coast,NC
1,1971,812859.0664556962,North Coast,NC
1,1972,1162229.8099808062,North Coast,NC
1,1973,910530,North Coast,NC
1,1974,772214,North Coast,NC
1,1975,961633.2974683545,North Coast,NC
1,1976,1420470.844936709,North Coast,NC
1,1977,1609766.4462025317,North Coast,NC
1,1978,831641,North Coast,NC
1,1979,990106.802303263,North Coast,NC
1,1980,1634883.8176583494,North Coast,NC
1,1981,1330640,North Coast,NC
1,1982,1261305.0998166099,North Coast,NC
1,1983,2144088,North Coast,NC
1,1984,2327085,North Coast,NC
1,1985,2292746.2074927953,North Coast,NC
1,1986,2318062,North Coast,NC
1,1987,3050687.7485604608,North Coast,NC
1,1988,2311451,North Coast,NC
1,1989,1582241,North Coast,NC
1,1990,2039987,North Coast,NC
1,1991,3049251,North Coast,NC
1,1992,2195942,North Coast,NC
1,1993,1955396.3814514016,North Coast,NC
1,1994,1936355,North Coast,NC
1,1995,1661291,North Coast,NC
1,1996,2119528,North Coast,NC
1,1997,2811067,North Coast,NC
1,1998,1964804,North Coast,NC
1,1999,3273585.518234165,North Coast,NC
1,2000,2644307,North Coast,NC
1,2001,4237167,North Coast,NC
1,2002,2508465,North Coast,NC
1,2003,2954818,North Coast,NC
1,2004,2392028.2321194657,North Coast,NC
1,2005,2556534,North Coast,NC
1,2006,1323326,North Coast,NC
1,2007,1953011,North Coast,NC
1,2008,1904679,North Coast,NC
1,2009,1336429,North Coast,NC
1,2010,2268117,North Coast,NC
1,2011,2172629,North Coast,NC
1,2012,2378708,North Coast,NC
1,2013,1811105,North Coast,NC
1,2014,2231929,North Coast,NC
1,2015,2420986,North Coast,NC
1,2016,1984161,North Coast,NC
2,1940,1109760,Haida Gwaii,HG
2,1941,919742,Haida Gwaii,HG
2,1942,905031,Haida Gwaii,HG
2,1943,563939,Haida Gwaii,HG
2,1944,504277,Haida Gwaii,HG
2,1945,868361,Haida Gwaii,HG
