rgn_id,median_prod,aq_type,units
1,137837409.5,shellfish,4 cm bivalves
2,130371576,shellfish,4 cm bivalves
3,139734238,shellfish,4 cm bivalves
4,137326350,shellfish,4 cm bivalves
5,139905428.5,shellfish,4 cm bivalves
6,149663096,shellfish,4 cm bivalves
7,142745160.5,shellfish,4 cm bivalves
8,140192641,shellfish,4 cm bivalves
1,1073.293,finfish,tonnes
2,1057.859,finfish,tonnes
3,1021.597,finfish,tonnes
4,1002.473,finfish,tonnes
5,997.784,finfish,tonnes
6,926.9845,finfish,tonnes
7,1131.157,finfish,tonnes
8,1061.156,finfish,tonnes
