year,rgn_id,aq_type,harvest_tonnes
2011,2,shellfish,1.9900000000000002
2011,3,finfish,7309.57
2011,4,finfish,45359
2011,4,shellfish,482.92
2011,5,finfish,24444.77
2011,5,shellfish,349.14000000000004
2011,6,finfish,6278.65
2011,6,shellfish,5783.9400000000005
2011,8,finfish,24.12
2012,2,shellfish,1.22
2012,3,finfish,5477
2012,4,finfish,36144.74
2012,4,shellfish,429.97
2012,5,finfish,24104.36
2012,5,shellfish,197.09
2012,6,finfish,13292.789999999999
2012,6,shellfish,6948.5
2012,8,finfish,18.07
2013,2,shellfish,3.28
2013,3,finfish,4311.75
2013,4,finfish,42812.119999999995
2013,4,shellfish,264.64
2013,5,finfish,17674.23
2013,5,shellfish,178.60999999999999
2013,6,finfish,5720.37
2013,6,shellfish,7174.549999999999
2013,8,finfish,14.22
2014,2,shellfish,1.66
2014,3,finfish,5728.48
2014,4,finfish,32860.38
2014,4,shellfish,1035.53
2014,5,finfish,15344.84
2014,5,shellfish,198.82
2014,6,finfish,4146
2014,6,shellfish,7337.070000000001
2014,8,finfish,18.9
2015,2,shellfish,18.259999999999998
2015,3,finfish,9917.41
2015,4,finfish,109257.71
2015,4,shellfish,12279.14
2015,5,finfish,76951.14
2015,5,shellfish,1202.06
2015,6,finfish,13262.57
2015,6,shellfish,97781.73
2015,8,finfish,32.72
