functional_group_name,functional_group_id
bathydemersallg,12
bathydemersalmd,11
bathydemersalsm,10
bathypelagiclg,9
bathypelagicmd,8
bathypelagicsm,7
benthopelagiclg,15
benthopelagicmd,14
benthopelagicsm,13
cephalopods,25
demersallg,6
demersalmd,5
demersalsm,4
flatfishlg,24
flatfishsm md,23
jellyfish,28
"lobsters,crab",27
otherdeminvert,29
pelagiclg,3
pelagicmd,2
pelagicsm,1
raylg,22
raysm md,21
reef-associatedlg,18
reef-associatedmd,17
reef-associatedsm,16
sharklg,20
sharksm-md,19
shrimp,26
