stockid,taxon_scientific_name,taxon_key,match_level
SKJCWPAC,Katsuwonus pelamis,600107,species
EULAPCOASTFRDU,Thaleichthys pacificus,600256,species
PCOD5AB,Gadus macrocephalus,600308,species
PCODHS,Gadus macrocephalus,600308,species
PCODWCVANI,Gadus macrocephalus,600308,species
PERCHQCI,Sebastes alutus,600504,species
PERCHWCVANI,Sebastes alutus,600504,species
LINGCODSOG,Ophiodon elongatus,600509,species
SABLEFPCAN,Anoplopoma fimbria,600512,species
PHALNPAC,Hippoglossus stenolepis,600514,species
HERRCC,Clupea pallasii,601520,species
HERRPRD,Clupea pallasii,601520,species
HERRQCI,Clupea pallasii,601520,species
HERRSOG,Clupea pallasii,601520,species
HERRWCVANI,Clupea pallasii,601520,species
BIGSKA3CD,Raja,500108,genus
BIGSKA4B,Raja,500108,genus
BIGSKA5AB,Raja,500108,genus
BIGSKA5CDE,Raja,500108,genus
LNOSESKA3CD,Raja,500108,genus
LNOSESKA4B,Raja,500108,genus
LNOSESKA5AB,Raja,500108,genus
LNOSESKA5CDE,Raja,500108,genus
PERCHQCI,Sebastes,501135,genus
PERCHWCVANI,Sebastes,501135,genus
SARDBC,Clupeidae,400043,family
BOCACCBCW,Sebastidae,400573,family
CROCKWCVANISOGQCI,Sebastidae,400573,family
ESOLEHS,Pleuronectidae,400440,family
PACBTUNA,Scombridae,400416,family
RSOLE5AB,Pleuronectidae,400440,family
RSOLEHSTR,Pleuronectidae,400440,family
QROCKPCOASTIN,Sebastidae,400573,family
QROCKPCOASTOUT,Sebastidae,400573,family
YEYEROCKPCOASTIN,Sebastidae,400573,family
PANDALSMA14,Decapoda,390013,order
PANDALSMA16,Decapoda,390013,order
PANDALSMA18-19,Decapoda,390013,order
PANDALSMAFR,Decapoda,390013,order
PANDALSMAGTSE,Decapoda,390013,order
PANDALSMAPRD,Decapoda,390013,order
ALBANPAC,Scombridae,400416,family
BIGEYECWPAC,Scombridae,400416,family
BIGEYEEPAC,Scombridae,400416,family
SSHRIMPSMAGTSE,Decapoda,390013,order
SSHRIMPSMAPRD,Decapoda,390013,order
SSSHRIMPSMA14,Decapoda,390013,order
SSSHRIMPSMA16,Decapoda,390013,order
SSSHRIMPSMA18-19,Decapoda,390013,order
SSSHRIMPSMAFR,Decapoda,390013,order
YFINCWPAC,Scombridae,400416,family
YFINEPAC,Scombridae,400416,family
