commercial_group_name,commercial_group_id
Anchovies,1
Cod-likes,5
Crustaceans,10
Flatfishes,7
Herring-likes,2
Molluscs,11
Other fishes & inverts,12
Perch-likes,3
"Salmon, smelts, etc",6
Scorpionfishes,8
Sharks & rays,9
Tuna & billfishes,4
