year,rgn_id,taxonkey,taxonsciname,taxoncomname,sector_type_name,catch_type_name,reporting_status_name,rgn_catch,rgn_taxon_total,rgn_total
1950,1,100039,Marine fishes not identified,Marine fishes nei,Artisanal,Landings,Reported,0.04600702501718302,1000.7429863906042,45737.4638426516
1950,1,100039,Marine fishes not identified,Marine fishes nei,Industrial,Landings,Reported,83.74033300130435,1000.7429863906042,45737.4638426516
1950,1,100039,Marine fishes not identified,Marine fishes nei,Industrial,Landings,Unreported,916.9566463642826,1000.7429863906042,45737.4638426516
1950,1,100239,Marine groundfishes not identified,Groundfishes,Industrial,Discards,Unreported,137.75284778714567,576.133491048974,45737.4638426516
1950,1,100239,Marine groundfishes not identified,Groundfishes,Industrial,Landings,Unreported,438.38064326182825,576.133491048974,45737.4638426516
1950,1,290004,Bivalvia,Clams,Industrial,Landings,Unreported,30.26758099865792,30.26758099865792,45737.4638426516
1950,1,300061,Pleuronectiformes,Flatfishes,Industrial,Landings,Reported,42.01203718837918,42.01203718837918,45737.4638426516
1950,1,390013,Decapoda,"Crabs, lobsters, shrimps",Industrial,Landings,Reported,0.7154918212539346,0.7154918212539346,45737.4638426516
1950,1,400019,Rajidae,Stingrays,Industrial,Landings,Reported,1.5341492561980874,1.5341492561980874,45737.4638426516
1950,1,400416,Scombridae,"Mackerels, tunas, bonitos",Industrial,Landings,Unreported,38.83960200239405,38.83960200239405,45737.4638426516
1950,1,400573,Sebastidae,"Rockfishes, rockcods, thornyheads",Industrial,Landings,Unreported,0.8778899310695433,0.8778899310695433,45737.4638426516
1950,1,490097,Brachyura,Marine crabs,Industrial,Landings,Unreported,4.875133361678613,4.875133361678613,45737.4638426516
1950,1,490143,Ostreidae,True oysters,Industrial,Landings,Unreported,185.29005156189157,185.29005156189157,45737.4638426516
1950,1,600239,Oncorhynchus mykiss,Rainbow trout,Industrial,Landings,Unreported,19.18013943690584,22.78710991543133,45737.4638426516
1950,1,600239,Oncorhynchus mykiss,Rainbow trout,Subsistence,Landings,Unreported,3.606970478525488,22.78710991543133,45737.4638426516
1950,1,600240,Oncorhynchus gorbuscha,Pink salmon,Industrial,Discards,Unreported,103.26218447180354,6718.268169532797,45737.4638426516
1950,1,600240,Oncorhynchus gorbuscha,Pink salmon,Industrial,Landings,Reported,3023.5167613344074,6718.268169532797,45737.4638426516
1950,1,600240,Oncorhynchus gorbuscha,Pink salmon,Industrial,Landings,Unreported,3027.151590227815,6718.268169532797,45737.4638426516
1950,1,600240,Oncorhynchus gorbuscha,Pink salmon,Recreational,Landings,Unreported,562.8890220449792,6718.268169532797,45737.4638426516
1950,1,600240,Oncorhynchus gorbuscha,Pink salmon,Subsistence,Landings,Unreported,1.4486114537922261,6718.268169532797,45737.4638426516
1950,1,600241,Oncorhynchus keta,Chum salmon,Industrial,Discards,Unreported,89.39944420102798,10423.044015971727,45737.4638426516
1950,1,600241,Oncorhynchus keta,Chum salmon,Industrial,Landings,Reported,4883.7329153824085,10423.044015971727,45737.4638426516
1950,1,600241,Oncorhynchus keta,Chum salmon,Industrial,Landings,Unreported,4883.597256134759,10423.044015971727,45737.4638426516
1950,1,600241,Oncorhynchus keta,Chum salmon,Recreational,Landings,Unreported,488.3546781867703,10423.044015971727,45737.4638426516
1950,1,600241,Oncorhynchus keta,Chum salmon,Subsistence,Landings,Unreported,77.95972206676221,10423.044015971727,45737.4638426516
1950,1,600243,Oncorhynchus nerka,Sockeye salmon,Industrial,Discards,Unreported,16.156554998276032,1810.2318723009869,45737.4638426516
1950,1,600243,Oncorhynchus nerka,Sockeye salmon,Industrial,Landings,Reported,695.4115905406836,1810.2318723009869,45737.4638426516
1950,1,600243,Oncorhynchus nerka,Sockeye salmon,Industrial,Landings,Unreported,696.9801881133318,1810.2318723009869,45737.4638426516
1950,1,600243,Oncorhynchus nerka,Sockeye salmon,Recreational,Landings,Unreported,291.3665732686014,1810.2318723009869,45737.4638426516
1950,1,600243,Oncorhynchus nerka,Sockeye salmon,Subsistence,Landings,Unreported,110.31696538009409,1810.2318723009869,45737.4638426516
1950,1,600244,Oncorhynchus tshawytscha,Chinook salmon,Industrial,Discards,Unreported,19.557990243258562,2100.2014432639635,45737.4638426516
1950,1,600244,Oncorhynchus tshawytscha,Chinook salmon,Industrial,Landings,Reported,875.7309064145625,2100.2014432639635,45737.4638426516
