taxonkey,taxonsciname,taxoncomname,year,catch
100039,Marine fishes not identified,Marine fishes nei,2010,1724.9203116510837
100077,Miscellaneous aquatic invertebrates,Aquatic invertebrates,1997,9.96370179961793
100239,Marine groundfishes not identified,Groundfishes,2010,125.46215958657463
100339,Marine pelagic fishes not identified,Pelagic fishes,2010,5.303061105365843
190195,Mollusca,"Clams, seasnails, squids, octopuses",2010,10.34900765227473
200004,Elasmobranchii,"Sharks, rays, skates",2007,3.370104566420294e-6
290004,Bivalvia,Clams,1997,1.5362274785336385
290013,Scyphozoa,True jellyfishes,1984,0.076216927353928
290022,Malacostraca,"Lobsters, crabs, shrimps, krill",1997,5.432778008624566e-4
300061,Pleuronectiformes,Flatfishes,2010,16.035315009008976
390013,Decapoda,"Crabs, lobsters, shrimps",2010,0.059239140594790664
400019,Rajidae,Stingrays,2010,3.421188436940408
400043,Clupeidae,"Herrings, sardines, menhadens",2010,192.853238907855
400314,Carangidae,"Jacks, pompanos",2004,5.482029965874018e-6
400416,Scombridae,"Mackerels, tunas, bonitos",2010,12.59742636065156
400573,Sebastidae,"Rockfishes, rockcods, thornyheads",2010,50.274555906585896
490097,Brachyura,Marine crabs,1997,2.110571427997576
490143,Ostreidae,True oysters,1997,114.13104949992972
590269,Tresus,Gaper clams,1997,0.08772768928429614
600239,Oncorhynchus mykiss,Rainbow trout,2009,0.010257286118125932
600240,Oncorhynchus gorbuscha,Pink salmon,2010,33.365008915955094
600241,Oncorhynchus keta,Chum salmon,2010,84.90845968275048
600243,Oncorhynchus nerka,Sockeye salmon,2010,242.03530445047215
600244,Oncorhynchus tshawytscha,Chinook salmon,2010,34.848778061568346
600245,Oncorhynchus kisutch,Coho salmon,2010,16.41859271584798
600255,Hypomesus pretiosus,Surf smelt,1996,0.04865030453692062
600256,Thaleichthys pacificus,Eulachon,2008,0.007088952224998531
600308,Gadus macrocephalus,Pacific cod,2010,19.581127981410955
600318,Theragra chalcogramma,Alaska pollock,2010,1.3740149796120755
600504,Sebastes alutus,Pacific ocean perch,2010,190.85930412050553
600509,Ophiodon elongatus,Lingcod,2010,74.3838346586432
600512,Anoplopoma fimbria,Sablefish,2010,12.32603722508287
600514,Hippoglossus stenolepis,Pacific halibut,2010,82.63329769270838
600517,Atheresthes stomias,Arrowtooth flounder,2010,0.8981340765765745
601520,Clupea pallasii pallasii,Pacific herring,2010,118.3555356541815
690064,Saxidomus gigantea,Butter clam,2010,2.0636752790914517
690115,Cancer magister,Dungeness crab,2010,130.2602272815109
690283,Crassostrea gigas,Pacific cupped oyster,1969,15.042698784672462
690284,Panopea abrupta,Pacific geoduck,2010,33.73892139060494
