rgn_id,score,year,dimension,goal
1.0,0.7165361741028271,NA,status,CP
1.0,-0.02144268378080198,NA,trend,CP
1.0,0.5367329074598023,NA,status,CS
1.0,-0.0034833337718028585,NA,trend,CS
1.0,0.4969513405269917,NA,status,HAB
1.0,-0.0016091954022988254,NA,trend,HAB
1.0,0.7976306620209059,NA,status,SPP
1.0,-0.001238811891268502,NA,trend,SPP
6.0,0.07400000000000001,1997.0,status,LSP
6.0,0.07400000000000001,1998.0,status,LSP
6.0,0.07400000000000001,1999.0,status,LSP
6.0,0.07400000000000001,2e3,status,LSP
6.0,0.07400000000000001,2001.0,status,LSP
6.0,0.07400000000000001,2002.0,status,LSP
6.0,0.07400000000000001,2003.0,status,LSP
6.0,0.07400000000000001,2004.0,status,LSP
6.0,0.07400000000000001,2005.0,status,LSP
6.0,0.07400000000000001,2006.0,status,LSP
6.0,0.08785,2007.0,status,LSP
6.0,0.08785,2008.0,status,LSP
6.0,0.08785,2009.0,status,LSP
6.0,0.08785,2010.0,status,LSP
6.0,0.08785,2011.0,status,LSP
6.0,0.08785,2012.0,status,LSP
6.0,0.08785,2013.0,status,LSP
6.0,0.08785,2014.0,status,LSP
6.0,0.08785,2015.0,status,LSP
6.0,0.08785,2016.0,status,LSP
6.0,0.07036171509855496,1997.0,trend,LSP
6.0,0.07036171509855496,1998.0,trend,LSP
6.0,0.07036171509855496,1999.0,trend,LSP
6.0,0.07036171509855496,2e3,trend,LSP
6.0,0.07036171509855496,2001.0,trend,LSP
6.0,0.07036171509855496,2002.0,trend,LSP
6.0,0.07036171509855496,2003.0,trend,LSP
6.0,0.07036171509855496,2004.0,trend,LSP
6.0,0.07036171509855496,2005.0,trend,LSP
6.0,0.07036171509855496,2006.0,trend,LSP
6.0,0.07036171509855496,2007.0,trend,LSP
6.0,0.07036171509855496,2008.0,trend,LSP
6.0,0.07036171509855496,2009.0,trend,LSP
6.0,0.07036171509855496,2010.0,trend,LSP
6.0,0.07036171509855496,2011.0,trend,LSP
6.0,0.07036171509855496,2012.0,trend,LSP
6.0,0.07036171509855496,2013.0,trend,LSP
6.0,0.07036171509855496,2014.0,trend,LSP
6.0,0.07036171509855496,2015.0,trend,LSP
6.0,0.07036171509855496,2016.0,trend,LSP
1.0,0.7384615384615385,NA,status,ICO
1.0,-0.0018648018648016063,NA,trend,ICO
1.0,1.0,NA,status,FIS
1.0,0.0,NA,trend,FIS
