goal,goal_label
AO,Artisanal Opportunities
BD,Biodiversity
HAB,Habitats
SPP,Species
CP,Coastal Protection
CS,Carbon Storage
CW,Clean Waters
FP,Food Provision
FIS,Seafood
MAR,Mariculture
LE,Livelihoods and Economies
LIV,Livelihoods
ECO,Economies
NP,Natural Products
SP,Sense of Place
ICO,Iconic Species
LSP,Lasting Special Places
TR,Tourism and Recreation
