iucn_sid,am_sid,cat_ts_score,year,pr_score,cat_ts
2474,ITS-Mam-180524,0.2,1996,0.2,NT
2474,ITS-Mam-180524,0.2,2008,0.2,LC
2475,ITS-Mam-180526,1,1994,1,VU
2475,ITS-Mam-180526,1,1996,1,EN
2475,ITS-Mam-180526,1,2008,1,EN
2477,ITS-Mam-180528,0.8,1965,0.8,CR
2477,ITS-Mam-180528,0.8,1986,0.8,EN
2477,ITS-Mam-180528,0.8,1988,0.8,EN
2477,ITS-Mam-180528,0.8,1990,0.8,EN
2477,ITS-Mam-180528,0.8,1994,0.8,EN
2477,ITS-Mam-180528,0.8,1996,0.8,EN
2477,ITS-Mam-180528,0.8,2008,0.8,EN
2478,ITS-Mam-180527,0.6,1965,0.6,EN
2478,ITS-Mam-180527,0.6,1986,0.6,VU
2478,ITS-Mam-180527,0.6,1988,0.6,VU
2478,ITS-Mam-180527,0.6,1990,0.6,VU
2478,ITS-Mam-180527,0.6,1994,0.6,VU
2478,ITS-Mam-180527,0.6,1996,0.6,EN
2478,ITS-Mam-180527,0.6,2008,0.6,EN
2478,ITS-Mam-180527,0.6,2013,0.6,EN
2636,Fis-55409,NA,NA,NA,DD
2763,ITS-Mam-180496,0.4,1996,NA,VU
3590,ITS-Mam-180627,0.6,1996,0.6,VU
3590,ITS-Mam-180627,0.6,2008,0.6,VU
3590,ITS-Mam-180627,0.6,2015,0.6,VU
3855,Fis-23071,0.4,1996,NA,VU
3855,Fis-23071,0.4,2000,NA,VU
3855,Fis-23071,0.4,2009,NA,VU
3897,Rep-2666,0.4,1982,NA,VU
3897,Rep-2666,0.4,1986,NA,VU
3897,Rep-2666,0.4,1988,NA,VU
3897,Rep-2666,0.4,1990,NA,VU
3897,Rep-2666,0.4,1994,NA,VU
3897,Rep-2666,0.6,1996,NA,EN
3897,Rep-2666,0.4,2015,NA,VU
4292,Fis-22747,0.4,1996,NA,VU
4292,Fis-22747,0.4,2000,NA,VU
4292,Fis-22747,0.4,2005,NA,VU
6336,ITS-Mam-180438,0,1996,NA,LC
6336,ITS-Mam-180438,0,2008,NA,LC
7750,ITS-Mam-180547,0.4,1996,0.4,LC
7750,ITS-Mam-180547,0.4,2000,0.4,EN
7750,ITS-Mam-180547,0.4,2008,0.4,EN
7750,ITS-Mam-180547,0.4,2011,0.4,EN
7750,ITS-Mam-180547,0.4,2015,0.4,EN
8005,Rep-5181,0.6,1982,NA,EN
8005,Rep-5181,0.6,1986,NA,EN
8005,Rep-5181,0.6,1988,NA,EN
8005,Rep-5181,0.6,1990,NA,EN
8005,Rep-5181,0.6,1994,NA,EN
8005,Rep-5181,0.8,1996,NA,CR
8005,Rep-5181,0.8,2008,NA,CR
8097,ITS-Mam-180521,0.4,1996,0.4,VU
8097,ITS-Mam-180521,0.4,2008,0.4,LC
8239,ITS-Mam-180625,0.4,1994,0.4,VU
8239,ITS-Mam-180625,0.4,1996,0.4,EN
8239,ITS-Mam-180625,0.4,2008,0.4,EN
8239,ITS-Mam-180625,0.4,2012,0.4,NT
8239,ITS-Mam-180625,0.4,2016,0.4,NT
9249,ITS-Mam-180466,0.4,1996,NA,VU
9461,ITS-Mam-180457,0.2,2008,0.2,LC
9461,ITS-Mam-180457,0.2,2012,0.2,LC
10030,Fis-23157,0.4,1996,NA,VU
10030,Fis-23157,0.2,2000,NA,NT
10030,Fis-23157,0.2,2005,NA,NT
11047,ITS-Mam-180491,0,1996,NA,LC
11145,ITS-Mam-180444,0.1,1996,0.1,LC
11145,ITS-Mam-180444,0.1,2008,0.1,LC
11145,ITS-Mam-180444,0.1,2012,0.1,LC
11534,Rep-6936,0.6,1982,NA,EN
11534,Rep-6936,0.6,1986,NA,EN
11534,Rep-6936,0.6,1988,NA,EN
11534,Rep-6936,0.6,1990,NA,EN
11534,Rep-6936,0.6,1994,NA,EN
11534,Rep-6936,0.6,1996,NA,EN
11534,Rep-6936,0.4,2008,NA,VU
12125,ITS-Mam-180454,0.2,1996,0.2,LC
12125,ITS-Mam-180454,0.2,2008,0.2,LC
12125,ITS-Mam-180454,0.2,2012,0.2,LC
12302,NA,0,2000,0,LC
12302,NA,0,2004,0,LC
12302,NA,0,2008,0,LC
12302,NA,0,2015,0,LC
13006,ITS-Mam-180530,0.4,1965,0.4,EN
13006,ITS-Mam-180530,0.4,1986,0.4,EN
13006,ITS-Mam-180530,0.4,1988,0.4,EN
13006,ITS-Mam-180530,0.4,1990,0.4,VU
13006,ITS-Mam-180530,0.4,1994,0.4,VU
13006,ITS-Mam-180530,0.4,1996,0.4,VU
13006,ITS-Mam-180530,0.4,2008,0.4,LC
13243,ITS-Mam-180512,NA,NA,NA,DD
13252,ITS-Mam-180514,NA,NA,NA,DD
13581,ITS-Mam-180672,0.8,1996,0.8,LC
13581,ITS-Mam-180672,0.8,2008,0.8,LC
13581,ITS-Mam-180672,0.8,2015,0.8,LC
15421,ITS-Mam-180469,0.6,1996,0.6,VU
17013,ITS-Mam-180649,0,1996,0,LC
17013,ITS-Mam-180649,0,2008,0,LC
17013,ITS-Mam-180649,0,2016,0,LC
17027,ITS-Mam-180473,0.4,1996,0.4,VU
17027,ITS-Mam-180473,0.4,2008,0.4,LC
17032,ITS-Mam-180480,0.1,1996,0.1,VU
17032,ITS-Mam-180480,0.1,2008,0.1,LC
17032,ITS-Mam-180480,0.1,2012,0.1,LC
18596,ITS-Mam-180463,0,1996,NA,LC
20731,ITS-Mam-180434,0.4,1996,NA,VU
20731,ITS-Mam-180434,0,2008,NA,LC
21856,Fis-22832,0.2,2011,NA,NT
21859,Fis-22836,0.4,1996,NA,VU
21859,Fis-22836,0.4,2011,NA,VU
23211,ITS-Mam-180498,0,2008,NA,LC
39324,Fis-24153,NA,NA,NA,DD
39328,Fis-29541,0.2,2000,NA,NT
39328,Fis-29541,0.2,2005,NA,NT
39328,Fis-29541,0.2,2016,NA,NT
39339,Fis-23899,0.4,2009,NA,VU
39341,Fis-58485,0.2,2000,NA,NT
39341,Fis-58485,0.4,2009,NA,VU
39342,Fis-29426,0,2009,NA,LC
39352,Fis-25233,0.4,2000,NA,VU
39352,Fis-25233,0.4,2006,NA,VU
39381,Fis-23222,0.2,2000,NA,NT
39381,Fis-23222,0.2,2009,NA,NT
39396,Fis-30722,0,2000,NA,LC
39396,Fis-30722,0,2005,NA,LC
39396,Fis-30722,0,2015,NA,LC
41666,ITS-Mam-180621,0,1965,0,CR
41666,ITS-Mam-180621,0,1996,0,LC
41666,ITS-Mam-180621,0,2008,0,LC
41666,ITS-Mam-180621,0,2015,0,LC
41755,ITS-Mam-180488,0.3,1996,0.3,VU
41755,ITS-Mam-180488,0.3,2008,0.3,VU
44183,Fis-30562,0.2,2000,NA,NT
44183,Fis-30562,0.2,2005,NA,NT
44183,Fis-30562,0,2016,NA,LC
44209,Fis-22998,NA,NA,NA,DD
60191,Fis-24068,0,2006,NA,LC
60191,Fis-24068,0,2015,NA,LC
60231,Fis-23213,0,2015,NA,LC
63119,Fis-131852,0,2007,NA,LC
63119,Fis-131852,0,2016,NA,LC
153538,NA,0,2010,0,LC
161350,Fis-131458,0,2009,NA,LC
161350,Fis-131458,0,2015,NA,LC
161375,Fis-24315,0,2009,NA,LC
161375,Fis-24315,0,2015,NA,LC
161402,NA,0,2009,NA,LC
161402,NA,0,2016,NA,LC
161403,Fis-30664,NA,NA,NA,DD
161452,Fis-131850,0,2009,NA,LC
161452,Fis-131850,0,2016,NA,LC
161466,Fis-30566,0,2016,NA,LC
161471,Fis-24311,0,2009,NA,LC
161471,Fis-24311,0,2015,NA,LC
161595,Fis-24312,0,2009,NA,LC
161629,Fis-24314,0,2009,NA,LC
161629,Fis-24314,0,2016,NA,LC
161661,Fis-24308,0,2009,NA,LC
161661,Fis-24308,0,2015,NA,LC
161706,Fis-24310,NA,NA,NA,DD
170306,Fis-29507,0,2011,NA,LC
170310,Fis-22777,0,2011,NA,LC
