iucn_sid,am_sid,iucn_pop_trend,cosewic_trend
233,Fis-29588,stable,0
234,Fis-29594,stable,-0.0848
2474,ITS-Mam-180524,stable,NA
2475,ITS-Mam-180526,unknown,0
2476,ITS-Mam-180525,NA,NA
2477,ITS-Mam-180528,increasing,-0.07375
2478,ITS-Mam-180527,unknown,-0.05555
2636,Fis-55409,NA,NA
2763,ITS-Mam-180496,NA,NA
3590,ITS-Mam-180627,decreasing,-0.23074999999999998
3855,Fis-23071,unknown,NA
3897,Rep-2666,decreasing,NA
4292,Fis-22747,decreasing,NA
5363,Fis-48198,unknown,NA
6335,ITS-Mam-180483,unknown,NA
6336,ITS-Mam-180438,unknown,NA
7750,ITS-Mam-180547,decreasing,0.0735
8005,Rep-5181,decreasing,NA
8010,ITS-Mam-180655,unknown,NA
8097,ITS-Mam-180521,stable,-0.11764999999999999
8239,ITS-Mam-180625,increasing,-0.0814
8951,Fis-30039,stable,-0.033549999999999996
9249,ITS-Mam-180466,NA,NA
9461,ITS-Mam-180457,unknown,NA
10030,Fis-23157,unknown,NA
10303,ITS-Mam-180681,NA,NA
11047,ITS-Mam-180491,NA,NA
11145,ITS-Mam-180444,unknown,NA
11534,Rep-6936,decreasing,NA
12103,Fis-25001,NA,NA
12125,ITS-Mam-180454,unknown,NA
12302,NA,stable,NA
13006,ITS-Mam-180530,increasing,0.02675
13243,ITS-Mam-180512,NA,NA
13244,ITS-Mam-180517,NA,NA
13252,ITS-Mam-180514,NA,NA
13581,ITS-Mam-180672,increasing,NA
14214,Fis-24809,stable,NA
15106,ITS-Mam-180639,unknown,NA
15421,ITS-Mam-180469,NA,-0.15485
17013,ITS-Mam-180649,unknown,NA
17027,ITS-Mam-180473,unknown,NA
17032,ITS-Mam-180480,unknown,NA
18596,ITS-Mam-180463,NA,NA
18878,Fis-24923,stable,NA
19488,Fis-30583,decreasing,NA
20085,Fis-30643,NA,NA
20731,ITS-Mam-180434,unknown,NA
21856,Fis-22832,decreasing,NA
21857,Fis-22833,decreasing,NA
