iucn_sid,am_sid,rgn_id,sciname,comname
2474,ITS-Mam-180524,1,Balaenoptera acutorostrata,Minke Whale
2474,ITS-Mam-180524,2,Balaenoptera acutorostrata,Minke Whale
2474,ITS-Mam-180524,3,Balaenoptera acutorostrata,Minke Whale
2474,ITS-Mam-180524,4,Balaenoptera acutorostrata,Minke Whale
2474,ITS-Mam-180524,5,Balaenoptera acutorostrata,Minke Whale
2474,ITS-Mam-180524,6,Balaenoptera acutorostrata,Minke Whale
2474,ITS-Mam-180524,7,Balaenoptera acutorostrata,Minke Whale
2474,ITS-Mam-180524,8,Balaenoptera acutorostrata,Minke Whale
2475,ITS-Mam-180526,1,Balaenoptera borealis,Sei Whale
2475,ITS-Mam-180526,2,Balaenoptera borealis,Sei Whale
2475,ITS-Mam-180526,3,Balaenoptera borealis,Sei Whale
2475,ITS-Mam-180526,4,Balaenoptera borealis,Sei Whale
2475,ITS-Mam-180526,5,Balaenoptera borealis,Sei Whale
2475,ITS-Mam-180526,6,Balaenoptera borealis,Sei Whale
2475,ITS-Mam-180526,7,Balaenoptera borealis,Sei Whale
2475,ITS-Mam-180526,8,Balaenoptera borealis,Sei Whale
2477,ITS-Mam-180528,1,Balaenoptera musculus,Blue Whale
2477,ITS-Mam-180528,2,Balaenoptera musculus,Blue Whale
2477,ITS-Mam-180528,3,Balaenoptera musculus,Blue Whale
2477,ITS-Mam-180528,4,Balaenoptera musculus,Blue Whale
2477,ITS-Mam-180528,5,Balaenoptera musculus,Blue Whale
2477,ITS-Mam-180528,6,Balaenoptera musculus,Blue Whale
2477,ITS-Mam-180528,7,Balaenoptera musculus,Blue Whale
2477,ITS-Mam-180528,8,Balaenoptera musculus,Blue Whale
2478,ITS-Mam-180527,1,Balaenoptera physalus,Fin Whale
2478,ITS-Mam-180527,2,Balaenoptera physalus,Fin Whale
2478,ITS-Mam-180527,3,Balaenoptera physalus,Fin Whale
2478,ITS-Mam-180527,4,Balaenoptera physalus,Fin Whale
2478,ITS-Mam-180527,5,Balaenoptera physalus,Fin Whale
2478,ITS-Mam-180527,6,Balaenoptera physalus,Fin Whale
2478,ITS-Mam-180527,7,Balaenoptera physalus,Fin Whale
2478,ITS-Mam-180527,8,Balaenoptera physalus,Fin Whale
4292,Fis-22747,1,Cetorhinus maximus,Basking Shark
4292,Fis-22747,2,Cetorhinus maximus,Basking Shark
4292,Fis-22747,3,Cetorhinus maximus,Basking Shark
4292,Fis-22747,4,Cetorhinus maximus,Basking Shark
4292,Fis-22747,5,Cetorhinus maximus,Basking Shark
4292,Fis-22747,6,Cetorhinus maximus,Basking Shark
4292,Fis-22747,7,Cetorhinus maximus,Basking Shark
4292,Fis-22747,8,Cetorhinus maximus,Basking Shark
6336,ITS-Mam-180438,4,Delphinus delphis,Common Dophin
6336,ITS-Mam-180438,5,Delphinus delphis,Common Dophin
6336,ITS-Mam-180438,6,Delphinus delphis,Common Dophin
6336,ITS-Mam-180438,7,Delphinus delphis,Common Dophin
7750,ITS-Mam-180547,4,Enhydra lutris,Sea Otter
7750,ITS-Mam-180547,5,Enhydra lutris,Sea Otter
7750,ITS-Mam-180547,7,Enhydra lutris,Sea Otter
8097,ITS-Mam-180521,1,Eschrichtius robustus,Gray Whale
8097,ITS-Mam-180521,2,Eschrichtius robustus,Gray Whale
8097,ITS-Mam-180521,3,Eschrichtius robustus,Gray Whale
8097,ITS-Mam-180521,4,Eschrichtius robustus,Gray Whale
