sciname,comname,iucn_sid,am_sid,year,risk_score,risk_source
Ammodytes hexapterus,Pacific Sand Lance,NA,Fis-29620,NA,NA,iucn
Ardea herodias,Great Blue Heron,22696998,NA,1988,0.4,bc
Ardea herodias,Great Blue Heron,22696998,NA,1994,0.4,bc
Ardea herodias,Great Blue Heron,22696998,NA,2e3,0.4,bc
Ardea herodias,Great Blue Heron,22696998,NA,2004,0.4,bc
Ardea herodias,Great Blue Heron,22696998,NA,2008,0.4,bc
Ardea herodias,Great Blue Heron,22696998,NA,2009,0.4,bc
Ardea herodias,Great Blue Heron,22696998,NA,2012,0.4,bc
Ardea herodias,Great Blue Heron,22696998,NA,2016,0.4,bc
Balaenoptera acutorostrata,Minke Whale,2474,ITS-Mam-180524,1996,0.2,bc
Balaenoptera acutorostrata,Minke Whale,2474,ITS-Mam-180524,2008,0.2,bc
Balaenoptera borealis,Sei Whale,2475,ITS-Mam-180526,1994,1,bc
Balaenoptera borealis,Sei Whale,2475,ITS-Mam-180526,1996,1,bc
Balaenoptera borealis,Sei Whale,2475,ITS-Mam-180526,2008,1,bc
Balaenoptera edeni,Bryde's Whale,2476,ITS-Mam-180525,NA,NA,iucn
Balaenoptera musculus,Blue Whale,2477,ITS-Mam-180528,1965,0.8,bc
Balaenoptera musculus,Blue Whale,2477,ITS-Mam-180528,1986,0.8,bc
Balaenoptera musculus,Blue Whale,2477,ITS-Mam-180528,1988,0.8,bc
Balaenoptera musculus,Blue Whale,2477,ITS-Mam-180528,1990,0.8,bc
Balaenoptera musculus,Blue Whale,2477,ITS-Mam-180528,1994,0.8,bc
Balaenoptera musculus,Blue Whale,2477,ITS-Mam-180528,1996,0.8,bc
Balaenoptera musculus,Blue Whale,2477,ITS-Mam-180528,2008,0.8,bc
Balaenoptera physalus,Fin Whale,2478,ITS-Mam-180527,1965,0.6,bc
Balaenoptera physalus,Fin Whale,2478,ITS-Mam-180527,1986,0.6,bc
Balaenoptera physalus,Fin Whale,2478,ITS-Mam-180527,1988,0.6,bc
Balaenoptera physalus,Fin Whale,2478,ITS-Mam-180527,1990,0.6,bc
Balaenoptera physalus,Fin Whale,2478,ITS-Mam-180527,1994,0.6,bc
Balaenoptera physalus,Fin Whale,2478,ITS-Mam-180527,1996,0.6,bc
Balaenoptera physalus,Fin Whale,2478,ITS-Mam-180527,2008,0.6,bc
Balaenoptera physalus,Fin Whale,2478,ITS-Mam-180527,2013,0.6,bc
Brachyramphus marmoratus,Marbled Murrelet,22694870,ITS-176996,2e3,0.4,bc
Brachyramphus marmoratus,Marbled Murrelet,22694870,ITS-176996,2004,0.4,bc
Brachyramphus marmoratus,Marbled Murrelet,22694870,ITS-176996,2005,0.4,bc
Brachyramphus marmoratus,Marbled Murrelet,22694870,ITS-176996,2008,0.4,bc
Brachyramphus marmoratus,Marbled Murrelet,22694870,ITS-176996,2010,0.4,bc
Brachyramphus marmoratus,Marbled Murrelet,22694870,ITS-176996,2012,0.4,bc
Brachyramphus marmoratus,Marbled Murrelet,22694870,ITS-176996,2016,0.4,bc
Branta canadensis,Canada Goose,22679935,NA,2006,0,bc
Branta canadensis,Canada Goose,22679935,NA,2008,0,bc
Branta canadensis,Canada Goose,22679935,NA,2009,0,bc
Branta canadensis,Canada Goose,22679935,NA,2012,0,bc
Branta canadensis,Canada Goose,22679935,NA,2016,0,bc
Cetorhinus maximus,Basking Shark,4292,Fis-22747,1996,0.4,iucn
Cetorhinus maximus,Basking Shark,4292,Fis-22747,2e3,0.4,iucn
Cetorhinus maximus,Basking Shark,4292,Fis-22747,2005,0.4,iucn
Clupea pallasii,Pacific Herring,NA,Fis-153539,NA,NA,iucn
Delphinus delphis,Common Dophin,6336,ITS-Mam-180438,1996,0,iucn
Delphinus delphis,Common Dophin,6336,ITS-Mam-180438,2008,0,iucn
Enhydra lutris,Sea Otter,7750,ITS-Mam-180547,1996,0.4,bc
Enhydra lutris,Sea Otter,7750,ITS-Mam-180547,2e3,0.4,bc
Enhydra lutris,Sea Otter,7750,ITS-Mam-180547,2008,0.4,bc
Enhydra lutris,Sea Otter,7750,ITS-Mam-180547,2011,0.4,bc
Enhydra lutris,Sea Otter,7750,ITS-Mam-180547,2015,0.4,bc
Eschrichtius robustus,Gray Whale,8097,ITS-Mam-180521,1996,0.4,bc
Eschrichtius robustus,Gray Whale,8097,ITS-Mam-180521,2008,0.4,bc
Eubalaena japonica,North Pacific Right Whale,41711,ITS-Mam-612591,1996,1,bc
Eubalaena japonica,North Pacific Right Whale,41711,ITS-Mam-612591,2008,1,bc
