rgn_id,year,sciname,comname,iucn_sid,am_sid,pr_score,cat_ts_score,category
5,1965.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
6,1965.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
1,1965.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
2,1965.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
3,1965.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
4,1965.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
8,1965.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
7,1965.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
5,1966.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
6,1966.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
1,1966.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
2,1966.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
3,1966.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
4,1966.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
8,1966.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
7,1966.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
5,1967.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
6,1967.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
1,1967.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
2,1967.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
3,1967.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
4,1967.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
8,1967.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
7,1967.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
5,1968.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
6,1968.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
1,1968.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
2,1968.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
3,1968.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
4,1968.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
8,1968.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
7,1968.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
5,1969.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
6,1969.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
1,1969.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
2,1969.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
3,1969.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
4,1969.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
8,1969.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
7,1969.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
5,1970.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
6,1970.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
1,1970.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
2,1970.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
3,1970.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
4,1970.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
8,1970.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
7,1970.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
5,1971.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
6,1971.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
1,1971.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
2,1971.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
3,1971.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
4,1971.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
8,1971.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
7,1971.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
5,1972.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
6,1972.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
1,1972.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
2,1972.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
3,1972.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
4,1972.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
8,1972.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
7,1972.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
5,1973.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
6,1973.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
1,1973.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
2,1973.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
3,1973.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
4,1973.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
8,1973.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
7,1973.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
5,1974.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
6,1974.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
1,1974.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
2,1974.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
3,1974.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
4,1974.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
8,1974.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
7,1974.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
5,1975.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
6,1975.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
1,1975.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
2,1975.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
3,1975.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
4,1975.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
8,1975.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
7,1975.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
5,1976.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
6,1976.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
1,1976.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
2,1976.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
3,1976.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
4,1976.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
8,1976.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
7,1976.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
5,1977.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
6,1977.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
1,1977.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
2,1977.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
3,1977.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
4,1977.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
8,1977.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
7,1977.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
5,1978.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
6,1978.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
1,1978.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
2,1978.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
3,1978.0,Ardea herodias,Great Blue Heron,22696998.0,NA,0.4,0.4,EN
