sciname,comname,iucn_sid,am_sid,year,cat_ts_score,pr_score,cat_ts
Ammodytes hexapterus,Pacific Sand Lance,NA,Fis-29620,NA,NA,NA,NE
Ardea herodias,Great Blue Heron,22696998,NA,1988,0.4,0.4,LC
Ardea herodias,Great Blue Heron,22696998,NA,1994,0.4,0.4,LC
Ardea herodias,Great Blue Heron,22696998,NA,2000,0.4,0.4,LC
Ardea herodias,Great Blue Heron,22696998,NA,2004,0.4,0.4,LC
Ardea herodias,Great Blue Heron,22696998,NA,2008,0.4,0.4,LC
Ardea herodias,Great Blue Heron,22696998,NA,2009,0.4,0.4,LC
Ardea herodias,Great Blue Heron,22696998,NA,2012,0.4,0.4,LC
Ardea herodias,Great Blue Heron,22696998,NA,2016,0.4,0.4,LC
Balaenoptera acutorostrata,Minke Whale,2474,ITS-Mam-180524,1996,0.2,0.2,NT
Balaenoptera acutorostrata,Minke Whale,2474,ITS-Mam-180524,2008,0.2,0.2,LC
Balaenoptera borealis,Sei Whale,2475,ITS-Mam-180526,1994,1,1,VU
Balaenoptera borealis,Sei Whale,2475,ITS-Mam-180526,1996,1,1,EN
Balaenoptera borealis,Sei Whale,2475,ITS-Mam-180526,2008,1,1,EN
Balaenoptera edeni,Bryde's Whale,2476,ITS-Mam-180525,NA,NA,NA,DD
Balaenoptera musculus,Blue Whale,2477,ITS-Mam-180528,1965,0.8,0.8,CR
Balaenoptera musculus,Blue Whale,2477,ITS-Mam-180528,1986,0.8,0.8,EN
Balaenoptera musculus,Blue Whale,2477,ITS-Mam-180528,1988,0.8,0.8,EN
Balaenoptera musculus,Blue Whale,2477,ITS-Mam-180528,1990,0.8,0.8,EN
Balaenoptera musculus,Blue Whale,2477,ITS-Mam-180528,1994,0.8,0.8,EN
Balaenoptera musculus,Blue Whale,2477,ITS-Mam-180528,1996,0.8,0.8,EN
Balaenoptera musculus,Blue Whale,2477,ITS-Mam-180528,2008,0.8,0.8,EN
Balaenoptera physalus,Fin Whale,2478,ITS-Mam-180527,1965,0.6,0.6,EN
Balaenoptera physalus,Fin Whale,2478,ITS-Mam-180527,1986,0.6,0.6,VU
Balaenoptera physalus,Fin Whale,2478,ITS-Mam-180527,1988,0.6,0.6,VU
Balaenoptera physalus,Fin Whale,2478,ITS-Mam-180527,1990,0.6,0.6,VU
Balaenoptera physalus,Fin Whale,2478,ITS-Mam-180527,1994,0.6,0.6,VU
Balaenoptera physalus,Fin Whale,2478,ITS-Mam-180527,1996,0.6,0.6,EN
Balaenoptera physalus,Fin Whale,2478,ITS-Mam-180527,2008,0.6,0.6,EN
Balaenoptera physalus,Fin Whale,2478,ITS-Mam-180527,2013,0.6,0.6,EN
Brachyramphus marmoratus,Marbled Murrelet,22694870,ITS-176996,2000,0.4,0.4,VU
Brachyramphus marmoratus,Marbled Murrelet,22694870,ITS-176996,2004,0.4,0.4,EN
Brachyramphus marmoratus,Marbled Murrelet,22694870,ITS-176996,2005,0.4,0.4,EN
Brachyramphus marmoratus,Marbled Murrelet,22694870,ITS-176996,2008,0.4,0.4,EN
Brachyramphus marmoratus,Marbled Murrelet,22694870,ITS-176996,2010,0.4,0.4,EN
Brachyramphus marmoratus,Marbled Murrelet,22694870,ITS-176996,2012,0.4,0.4,EN
