target,target_element
AO,shellfish_closures
AO,fn_licenses
FIS,NA
HAB,soft_bottom
HAB,ebsa
LSP,NA
MAR,NA
SPP,NA
AO,herring_spawn
ICO,NA
TR,NA
AO,salmon
CPP,salt_marsh
CSS,salt_marsh
CW,NA
HAB,salt_marsh
SAL,NA
CPP,coastal_forest
CSS,coastal_forest
LE,NA
