value,rgn_id,n_cells
14,1,1916
NA,1,1543346
14,2,10535
NA,2,896713
14,3,2906
NA,3,1435704
14,4,1083
NA,4,1557969
14,5,255
NA,5,966994
14,6,5910
NA,6,1241051
14,8,2829
NA,8,110488
14,NA,106468
NA,NA,262986433
